"Kod";"Nazwa";"ludność korzystająca z sieci gazowej;2020;[osoba]";
2008063;"Mońki (3)";183;
2008064;"Mońki - miasto (4)";183;
2010000;"Powiat siemiatycki";6702;
2010011;"Siemiatycze (1)";6051;
2010052;"Mielnik (2)";300;
2010092;"Siemiatycze (2)";351;
2011000;"Powiat sokólski";14;
2011013;"Dąbrowa Białostocka (3)";11;
2011014;"Dąbrowa Białostocka - miasto (4)";11;
2011083;"Sokółka (3)";3;
2011085;"Sokółka - obszar wiejski (5)";3;
2012000;"Powiat suwalski";3;
2012072;"Suwałki (2)";3;
2013000;"Powiat wysokomazowiecki";3343;
2013011;"Wysokie Mazowieckie (1)";2967;
2013033;"Czyżew (3)";157;
2013035;"Czyżew - obszar wiejski (5)";157;
2013082;"Sokoły (2)";25;
2013093;"Szepietowo (3)";25;
2013094;"Szepietowo - miasto (4)";22;
2013095;"Szepietowo - obszar wiejski (5)";3;
2013102;"Wysokie Mazowieckie (2)";169;
2014000;"Powiat zambrowski";1854;
2014011;"Zambrów (1)";1778;
2014052;"Zambrów (2)";76;
2061000;"Powiat m.Białystok";269850;
2061011;"Białystok (1)";269850;
2062000;"Powiat m.Łomża";14433;
2062011;"Łomża (1)";14433;
2063000;"Powiat m.Suwałki";15348;
2063011;"Suwałki (1)";15348;
2200000;"POMORSKIE";1208818;
2201000;"Powiat bytowski";16361;
2201023;"Bytów (3)";15686;
2201024;"Bytów - miasto (4)";14086;
2201025;"Bytów - obszar wiejski (5)";1600;
2201032;"Czarna Dąbrówka (2)";11;
2201063;"Miastko (3)";660;
2201064;"Miastko - miasto (4)";512;
2201065;"Miastko - obszar wiejski (5)";148;
2201102;"Tuchomie (2)";4;
2202000;"Powiat chojnicki";37298;
2202011;"Chojnice (1)";28791;
2202023;"Brusy (3)";4;
2202025;"Brusy - obszar wiejski (5)";4;
2202032;"Chojnice (2)";3730;
2202043;"Czersk (3)";4773;
2202044;"Czersk - miasto (4)";4717;
2202045;"Czersk - obszar wiejski (5)";56;
2203000;"Powiat człuchowski";2320;
2203011;"Człuchów (1)";1335;
2203023;"Czarne (3)";304;
2203024;"Czarne - miasto (4)";304;
2203032;"Człuchów (2)";661;
2203062;"Przechlewo (2)";17;
2203072;"Rzeczenica (2)";3;
2204000;"Powiat gdański";76060;
2204011;"Pruszcz Gdański (1)";28247;
2204022;"Cedry Wielkie (2)";559;
2204032;"Kolbudy (2)";14147;
2204042;"Pruszcz Gdański (2)";25617;
2204052;"Przywidz (2)";43;
2204062;"Pszczółki (2)";5186;
2204072;"Suchy Dąb (2)";498;
2204082;"Trąbki Wielkie (2)";1763;
2205000;"Powiat kartuski";46046;
2205012;"Chmielno (2)";786;
2205023;"Kartuzy (3)";7207;
2205024;"Kartuzy - miasto (4)";4533;
2205025;"Kartuzy - obszar wiejski (5)";2674;
2205032;"Przodkowo (2)";1935;
2205042;"Sierakowice (2)";764;
2205052;"Somonino (2)";603;
2205062;"Stężyca (2)";26;
2205083;"Żukowo (3)";34725;
2205084;"Żukowo - miasto (4)";6639;
2205085;"Żukowo - obszar wiejski (5)";28086;
2206000;"Powiat kościerski";1832;
2206011;"Kościerzyna (1)";1251;
2206032;"Karsin (2)";30;
2206042;"Kościerzyna (2)";518;
2206072;"Nowa Karczma (2)";30;
2206082;"Stara Kiszewa (2)";3;
2207000;"Powiat kwidzyński";40988;
2207011;"Kwidzyn (1)";30214;
2207022;"Gardeja (2)";11;
2207032;"Kwidzyn (2)";4762;
2207043;"Prabuty (3)";5975;
2207044;"Prabuty - miasto (4)";5743;
2207045;"Prabuty - obszar wiejski (5)";232;
2207052;"Ryjewo (2)";26;
2208000;"Powiat lęborski";34986;
2208011;"Lębork (1)";32699;
2208021;"Łeba (1)";377;
2208032;"Cewice (2)";40;
2208042;"Nowa Wieś Lęborska (2)";1812;
2208052;"Wicko (2)";58;
2209000;"Powiat malborski";34782;
2209011;"Malbork (1)";27980;
2209042;"Malbork (2)";994;
2209073;"Nowy Staw (3)";3976;
2209074;"Nowy Staw - miasto (4)";3856;
2209075;"Nowy Staw - obszar wiejski (5)";120;
2209082;"Stare Pole (2)";1832;
2210000;"Powiat nowodworski";5796;
2210023;"Nowy Dwór Gdański (3)";5718;
2210024;"Nowy Dwór Gdański - miasto (4)";5599;
2210025;"Nowy Dwór Gdański - obszar wiejski (5)";119;
2210052;"Sztutowo (2)";78;
2211000;"Powiat pucki";27866;
2211023;"Jastarnia (3)";924;
2211024;"Jastarnia - miasto (4)";808;
2211025;"Jastarnia - obszar wiejski (5)";116;
2211031;"Puck (1)";2583;
2211043;"Władysławowo (3)";4492;
2211044;"Władysławowo - miasto (4)";2341;
2211045;"Władysławowo - obszar wiejski (5)";2151;
2211052;"Kosakowo (2)";11378;
2211062;"Krokowa (2)";4105;
2211072;"Puck (2)";4384;
2212000;"Powiat słupski";20463;
2212011;"Ustka (1)";9884;
2212022;"Damnica (2)";7;
2212032;"Dębnica Kaszubska (2)";3;
2212062;"Kobylnica (2)";5055;
2212082;"Słupsk (2)";4536;
2212102;"Ustka (2)";978;
2213000;"Powiat starogardzki";39405;
2213031;"Starogard Gdański (1)";35489;
2213042;"Bobowo (2)";16;
2213093;"Skarszewy (3)";14;
2213094;"Skarszewy - miasto (4)";3;
2213095;"Skarszewy - obszar wiejski (5)";11;
2213122;"Starogard Gdański (2)";3702;
2213132;"Zblewo (2)";184;
2214000;"Powiat tczewski";64190;
2214011;"Tczew (1)";46221;
2214023;"Gniew (3)";5879;
2214024;"Gniew - miasto (4)";5345;
2214025;"Gniew - obszar wiejski (5)";534;
2214043;"Pelplin (3)";2393;
2214044;"Pelplin - miasto (4)";1985;
2214045;"Pelplin - obszar wiejski (5)";408;
2214052;"Subkowy (2)";553;
2214062;"Tczew (2)";9144;
2215000;"Powiat wejherowski";107302;
2215011;"Reda (1)";14204;
2215021;"Rumia (1)";39258;
2215031;"Wejherowo (1)";33105;
2215052;"Gniewino (2)";584;
2215072;"Luzino (2)";4405;
2215082;"Łęczyce (2)";20;
2215092;"Szemud (2)";5793;
2215102;"Wejherowo (2)";9933;
2216000;"Powiat sztumski";15166;
2216013;"Dzierzgoń (3)";5469;
2216014;"Dzierzgoń - miasto (4)";5286;
2216015;"Dzierzgoń - obszar wiejski (5)";183;
2216032;"Stary Dzierzgoń (2)";3;
2216053;"Sztum (3)";9694;
2216054;"Sztum - miasto (4)";7365;
2216055;"Sztum - obszar wiejski (5)";2329;
2261000;"Powiat m.Gdańsk";350725;
2261011;"Gdańsk (1)";350725;
2262000;"Powiat m.Gdynia";184095;
2262011;"Gdynia (1)";184095;
2263000;"Powiat m.Słupsk";74179;
2263011;"Słupsk (1)";74179;
2264000;"Powiat m.Sopot";28958;
2264011;"Sopot (1)";28958;
2400000;"ŚLĄSKIE";2894699;
2401000;"Powiat będziński";100578;
2401011;"Będzin (1)";41521;
2401021;"Czeladź (1)";21514;
2401031;"Wojkowice (1)";3567;
2401042;"Bobrowniki (2)";7361;
2401052;"Mierzęcice (2)";6396;
2401062;"Psary (2)";8197;
2401073;"Siewierz (3)";6992;
2401074;"Siewierz - miasto (4)";3110;
2401075;"Siewierz - obszar wiejski (5)";3882;
2401081;"Sławków (1)";5030;
2402000;"Powiat bielski";137513;
2402011;"Szczyrk (1)";3898;
2402022;"Bestwina (2)";11281;
2402032;"Buczkowice (2)";7879;
2402043;"Czechowice-Dziedzice (3)";37619;
2402044;"Czechowice-Dziedzice - miasto (4)";30481;
2402045;"Czechowice-Dziedzice - obszar wiejski (5)";7138;
2402052;"Jasienica (2)";19336;
2402062;"Jaworze (2)";7276;
2402072;"Kozy (2)";12716;
2402082;"Porąbka (2)";13071;
2402093;"Wilamowice (3)";14696;
2402094;"Wilamowice - miasto (4)";2714;
2402095;"Wilamowice - obszar wiejski (5)";11982;
2402102;"Wilkowice (2)";9741;
2403000;"Powiat cieszyński";135837;
2403011;"Cieszyn (1)";31333;
2403021;"Ustroń (1)";13328;
2403031;"Wisła (1)";8039;
2403042;"Brenna (2)";8053;
2403052;"Chybie (2)";7546;
2403062;"Dębowiec (2)";4750;
2403072;"Goleszów (2)";9870;
2403082;"Hażlach (2)";8431;
2403092;"Istebna (2)";80;
2403103;"Skoczów (3)";24787;
2403104;"Skoczów - miasto (4)";13820;
2403105;"Skoczów - obszar wiejski (5)";10967;
2403113;"Strumień (3)";9154;
2403114;"Strumień - miasto (4)";2614;
2403115;"Strumień - obszar wiejski (5)";6540;
2403122;"Zebrzydowice (2)";10466;
2404000;"Powiat częstochowski";38471;
2404013;"Blachownia (3)";5242;
2404014;"Blachownia - miasto (4)";5223;
2404015;"Blachownia - obszar wiejski (5)";19;
2404022;"Dąbrowa Zielona (2)";5;
2404032;"Janów (2)";30;
2404042;"Kamienica Polska (2)";3050;
2404052;"Kłomnice (2)";1385;
2404063;"Koniecpol (3)";38;
2404064;"Koniecpol - miasto (4)";33;
2404065;"Koniecpol - obszar wiejski (5)";5;
2404072;"Konopiska (2)";2336;
2404082;"Kruszyna (2)";17;
2404092;"Lelów (2)";2;
2404102;"Mstów (2)";3735;
2404112;"Mykanów (2)";5360;
2404122;"Olsztyn (2)";3881;
2404132;"Poczesna (2)";7705;
2404142;"Przyrów (2)";4;
2404152;"Rędziny (2)";5173;
2404162;"Starcza (2)";508;
2405000;"Powiat gliwicki";56780;
2405011;"Knurów (1)";28344;
2405021;"Pyskowice (1)";16904;
2405032;"Gierałtowice (2)";2485;
2405042;"Pilchowice (2)";2339;
2405052;"Rudziniec (2)";387;
2405063;"Sośnicowice (3)";781;
2405064;"Sośnicowice - miasto (4)";215;
2405065;"Sośnicowice - obszar wiejski (5)";566;
2405073;"Toszek (3)";3843;
2405074;"Toszek - miasto (4)";3470;
2405075;"Toszek - obszar wiejski (5)";373;
2405082;"Wielowieś (2)";1697;
2406000;"Powiat kłobucki";1028;
2406013;"Kłobuck (3)";910;
2406015;"Kłobuck - obszar wiejski (5)";910;
2406023;"Krzepice (3)";83;
2406024;"Krzepice - miasto (4)";83;
2406052;"Opatów (2)";7;
2406092;"Wręczyca Wielka (2)";28;
2407000;"Powiat lubliniecki";15679;
2407011;"Lubliniec (1)";14247;
2407032;"Ciasna (2)";418;
2407042;"Herby (2)";723;
2407052;"Kochanowice (2)";93;
2407062;"Koszęcin (2)";130;
2407072;"Pawonków (2)";35;
2407083;"Woźniki (3)";33;
2407084;"Woźniki - miasto (4)";17;
2407085;"Woźniki - obszar wiejski (5)";16;
2408000;"Powiat mikołowski";58259;
2408011;"Łaziska Górne (1)";15261;
2408021;"Mikołów (1)";30585;
2408031;"Orzesze (1)";5658;
2408042;"Ornontowice (2)";1303;
2408052;"Wyry (2)";5452;
2409000;"Powiat myszkowski";33250;
2409011;"Myszków (1)";22032;
2409023;"Koziegłowy (3)";3703;
2409024;"Koziegłowy - miasto (4)";873;
2409025;"Koziegłowy - obszar wiejski (5)";2830;
2409042;"Poraj (2)";4798;
2409053;"Żarki (3)";2717;
2409054;"Żarki - miasto (4)";1870;
2409055;"Żarki - obszar wiejski (5)";847;
2410000;"Powiat pszczyński";84674;
2410012;"Goczałkowice-Zdrój (2)";5899;
2410022;"Kobiór (2)";2929;
2410032;"Miedźna (2)";13419;
2410042;"Pawłowice (2)";12581;
2410053;"Pszczyna (3)";42044;
2410054;"Pszczyna - miasto (4)";24936;
2410055;"Pszczyna - obszar wiejski (5)";17108;
2410062;"Suszec (2)";7802;
2411000;"Powiat raciborski";52910;
2411011;"Racibórz (1)";46951;
2411022;"Kornowac (2)";373;
2411033;"Krzanowice (3)";13;
2411034;"Krzanowice - miasto (4)";10;
2411035;"Krzanowice - obszar wiejski (5)";3;
2411042;"Krzyżanowice (2)";4809;
2411053;"Kuźnia Raciborska (3)";40;
2411055;"Kuźnia Raciborska - obszar wiejski (5)";40;
2411062;"Nędza (2)";40;
2411072;"Pietrowice Wielkie (2)";462;
2411082;"Rudnik (2)";222;
2412000;"Powiat rybnicki";20982;
2412013;"Czerwionka-Leszczyny (3)";14513;
2412014;"Czerwionka-Leszczyny - miasto (4)";11872;
2412015;"Czerwionka-Leszczyny - obszar wiejski (5)";2641;
2412022;"Gaszowice (2)";40;
2412032;"Jejkowice (2)";4;
2412042;"Lyski (2)";58;
2412052;"Świerklany (2)";6367;
2413000;"Powiat tarnogórski";79207;
2413011;"Kalety (1)";24;
2413021;"Miasteczko Śląskie (1)";4698;
2413031;"Radzionków (1)";8575;
2413041;"Tarnowskie Góry (1)";45836;
2413052;"Krupski Młyn (2)";1141;
2413062;"Ożarowice (2)";3348;
2413072;"Świerklaniec (2)";8752;
2413082;"Tworóg (2)";2019;
2413092;"Zbrosławice (2)";4814;
2414000;"Powiat bieruńsko-lędziński";32568;
2414011;"Bieruń (1)";10779;
2414021;"Imielin (1)";6037;
2414031;"Lędziny (1)";10886;
2414052;"Chełm Śląski (2)";4866;
2415000;"Powiat wodzisławski";62366;
2415011;"Pszów (1)";3049;
2415021;"Radlin (1)";8822;
2415031;"Rydułtowy (1)";4542;
2415041;"Wodzisław Śląski (1)";33270;
2415052;"Godów (2)";4165;
2415062;"Gorzyce (2)";2379;
2415072;"Lubomia (2)";727;
2415082;"Marklowice (2)";2595;
2415092;"Mszana (2)";2817;
2416000;"Powiat zawierciański";54690;
2416011;"Poręba (1)";4798;
2416021;"Zawiercie (1)";37456;
2416053;"Łazy (3)";5961;
2416054;"Łazy - miasto (4)";3493;
2416055;"Łazy - obszar wiejski (5)";2468;
2416063;"Ogrodzieniec (3)";4827;
2416064;"Ogrodzieniec - miasto (4)";2702;
2416065;"Ogrodzieniec - obszar wiejski (5)";2125;
2416073;"Pilica (3)";988;
2416074;"Pilica - miasto (4)";323;
2416075;"Pilica - obszar wiejski (5)";665;
2416083;"Szczekociny (3)";12;
2416085;"Szczekociny - obszar wiejski (5)";12;
2416092;"Włodowice (2)";645;
2416102;"Żarnowiec (2)";3;
2417000;"Powiat żywiecki";22092;
2417011;"Żywiec (1)";5647;
2417022;"Czernichów (2)";3984;
2417032;"Gilowice (2)";10;
2417062;"Lipowa (2)";4749;
2417072;"Łękawica (2)";36;
2417082;"Łodygowice (2)";7565;
2417102;"Radziechowy-Wieprz (2)";61;
2417132;"Świnna (2)";40;
2461000;"Powiat m.Bielsko-Biała";156630;
2461011;"Bielsko-Biała (1)";156630;
2462000;"Powiat m.Bytom";133354;
2462011;"Bytom (1)";133354;
2463000;"Powiat m.Chorzów";86292;
2463011;"Chorzów (1)";86292;
2464000;"Powiat m.Częstochowa";163404;
2464011;"Częstochowa (1)";163404;
2465000;"Powiat m.Dąbrowa Górnicza";91728;
2465011;"Dąbrowa Górnicza (1)";91728;
2466000;"Powiat m.Gliwice";146291;
2466011;"Gliwice (1)";146291;
2467000;"Powiat m.Jastrzębie-Zdrój";72937;
2467011;"Jastrzębie-Zdrój (1)";72937;
2468000;"Powiat m.Jaworzno";32522;
2468011;"Jaworzno (1)";32522;
2469000;"Powiat m.Katowice";221529;
2469011;"Katowice (1)";221529;
2470000;"Powiat m.Mysłowice";55621;
2470011;"Mysłowice (1)";55621;
2471000;"Powiat m.Piekary Śląskie";31527;
2471011;"Piekary Śląskie (1)";31527;
2472000;"Powiat m.Ruda Śląska";96978;
2472011;"Ruda Śląska (1)";96978;
2473000;"Powiat m.Rybnik";80901;
2473011;"Rybnik (1)";80901;
2474000;"Powiat m.Siemianowice Śląskie";60178;
2474011;"Siemianowice Śląskie (1)";60178;
2475000;"Powiat m.Sosnowiec";144550;
2475011;"Sosnowiec (1)";144550;
2476000;"Powiat m.Świętochłowice";36551;
2476011;"Świętochłowice (1)";36551;
2477000;"Powiat m.Tychy";107744;
2477011;"Tychy (1)";107744;
2478000;"Powiat m.Zabrze";131902;
2478011;"Zabrze (1)";131902;
2479000;"Powiat m.Żory";57176;
2479011;"Żory (1)";57176;
2600000;"ŚWIĘTOKRZYSKIE";483243;
2601000;"Powiat buski";30673;
2601013;"Busko-Zdrój (3)";17935;
2601014;"Busko-Zdrój - miasto (4)";14937;
2601015;"Busko-Zdrój - obszar wiejski (5)";2998;
2601022;"Gnojno (2)";86;
2601033;"Nowy Korczyn (3)";2656;
2601034;"Nowy Korczyn - miasto (4)";651;
2601035;"Nowy Korczyn - obszar wiejski (5)";2005;
2601043;"Pacanów (3)";1748;
2601044;"Pacanów - miasto (4)";774;
2601045;"Pacanów - obszar wiejski (5)";974;
2601052;"Solec-Zdrój (2)";2431;
2601063;"Stopnica (3)";4276;
2601064;"Stopnica - miasto (4)";1210;
2601065;"Stopnica - obszar wiejski (5)";3066;
2601072;"Tuczępy (2)";1538;
2601083;"Wiślica (3)";3;
2601085;"Wiślica - obszar wiejski (5)";3;
2602000;"Powiat jędrzejowski";1569;
2602023;"Jędrzejów (3)";1376;
2602024;"Jędrzejów - miasto (4)";1263;
2602025;"Jędrzejów - obszar wiejski (5)";113;
2602033;"Małogoszcz (3)";183;
2602034;"Małogoszcz - miasto (4)";180;
2602035;"Małogoszcz - obszar wiejski (5)";3;
2602082;"Sobków (2)";10;
2603000;"Powiat kazimierski";37;
2603043;"Opatowiec (3)";8;
2603045;"Opatowiec - obszar wiejski (5)";8;
2603053;"Skalbmierz (3)";29;
2603054;"Skalbmierz - miasto (4)";29;
2604000;"Powiat kielecki";22902;
2604012;"Bieliny (2)";396;
2604033;"Chęciny (3)";3318;
2604034;"Chęciny - miasto (4)";2876;
2604035;"Chęciny - obszar wiejski (5)";442;
2604043;"Chmielnik (3)";531;
2604044;"Chmielnik - miasto (4)";531;
2604053;"Daleszyce (3)";184;
2604054;"Daleszyce - miasto (4)";11;
2604055;"Daleszyce - obszar wiejski (5)";173;
2604062;"Górno (2)";65;
2604082;"Łopuszno (2)";4;
2604092;"Masłów (2)";1203;
2604102;"Miedziana Góra (2)";2343;
2604112;"Mniów (2)";18;
2604123;"Morawica (3)";5535;
2604124;"Morawica - miasto (4)";879;
2604125;"Morawica - obszar wiejski (5)";4656;
2604133;"Nowa Słupia (3)";166;
2604135;"Nowa Słupia - obszar wiejski (5)";166;
2604142;"Piekoszów (2)";37;
2604153;"Pierzchnica (3)";227;
2604154;"Pierzchnica - miasto (4)";224;
2604155;"Pierzchnica - obszar wiejski (5)";3;
2604172;"Nowiny (2)";1245;
2604182;"Strawczyn (2)";24;
2604192;"Zagnańsk (2)";7606;
2605000;"Powiat konecki";21307;
2605012;"Fałków (2)";12;
2605022;"Gowarczów (2)";675;
2605033;"Końskie (3)";16372;
2605034;"Końskie - miasto (4)";15138;
2605035;"Końskie - obszar wiejski (5)";1234;
2605043;"Radoszyce (3)";3;
2605045;"Radoszyce - obszar wiejski (5)";3;
2605083;"Stąporków (3)";4245;
2605084;"Stąporków - miasto (4)";4245;
2606000;"Powiat opatowski";15419;
2606012;"Baćkowice (2)";3;
2606022;"Iwaniska (2)";199;
2606032;"Lipnik (2)";1429;
2606043;"Opatów (3)";6407;
2606044;"Opatów - miasto (4)";5359;
2606045;"Opatów - obszar wiejski (5)";1048;
2606053;"Ożarów (3)";5083;
2606054;"Ożarów - miasto (4)";3711;
2606055;"Ożarów - obszar wiejski (5)";1372;
2606062;"Sadowie (2)";1017;
2606082;"Wojciechowice (2)";1281;
2607000;"Powiat ostrowiecki";65092;
2607011;"Ostrowiec Świętokrzyski (1)";53696;
2607032;"Bodzechów (2)";4307;
2607043;"Ćmielów (3)";3905;
2607044;"Ćmielów - miasto (4)";2421;
2607045;"Ćmielów - obszar wiejski (5)";1484;
2607053;"Kunów (3)";3180;
2607054;"Kunów - miasto (4)";2136;
2607055;"Kunów - obszar wiejski (5)";1044;
2607062;"Waśniów (2)";4;
2608000;"Powiat pińczowski";2525;
2608022;"Kije (2)";2;
2608043;"Pińczów (3)";2523;
2608044;"Pińczów - miasto (4)";2386;
2608045;"Pińczów - obszar wiejski (5)";137;
2609000;"Powiat sandomierski";43984;
2609011;"Sandomierz (1)";21338;
2609022;"Dwikozy (2)";4300;
2609033;"Klimontów (3)";1630;
2609034;"Klimontów - miasto (4)";1090;
2609035;"Klimontów - obszar wiejski (5)";540;
2609043;"Koprzywnica (3)";2501;
2609044;"Koprzywnica - miasto (4)";1459;
2609045;"Koprzywnica - obszar wiejski (5)";1042;
2609052;"Łoniów (2)";2324;
2609062;"Obrazów (2)";4083;
2609072;"Samborzec (2)";5491;
2609082;"Wilczyce (2)";1053;
2609093;"Zawichost (3)";1264;
2609094;"Zawichost - miasto (4)";884;
2609095;"Zawichost - obszar wiejski (5)";380;
2610000;"Powiat skarżyski";45390;
2610011;"Skarżysko-Kamienna (1)";34620;
2610022;"Bliżyn (2)";3442;
2610032;"Łączna (2)";151;
2610042;"Skarżysko Kościelne (2)";1070;
2610053;"Suchedniów (3)";6107;
2610054;"Suchedniów - miasto (4)";5470;
2610055;"Suchedniów - obszar wiejski (5)";637;
2611000;"Powiat starachowicki";52565;
2611011;"Starachowice (1)";37612;
2611022;"Brody (2)";5509;
2611032;"Mirzec (2)";2220;
2611042;"Pawłów (2)";4412;
2611053;"Wąchock (3)";2812;
2611054;"Wąchock - miasto (4)";1123;
2611055;"Wąchock - obszar wiejski (5)";1689;
2612000;"Powiat staszowski";19758;
2612012;"Bogoria (2)";1004;
2612033;"Oleśnica (3)";2048;
2612034;"Oleśnica - miasto (4)";1144;
2612035;"Oleśnica - obszar wiejski (5)";904;
2612043;"Osiek (3)";14;
2612045;"Osiek - obszar wiejski (5)";14;
2612053;"Połaniec (3)";384;
2612054;"Połaniec - miasto (4)";252;
2612055;"Połaniec - obszar wiejski (5)";132;
2612062;"Rytwiany (2)";1585;
2612073;"Staszów (3)";14151;
2612074;"Staszów - miasto (4)";12577;
2612075;"Staszów - obszar wiejski (5)";1574;
2612083;"Szydłów (3)";572;
2612084;"Szydłów - miasto (4)";531;
2612085;"Szydłów - obszar wiejski (5)";41;
2613000;"Powiat włoszczowski";912;
2613063;"Włoszczowa (3)";912;
2613064;"Włoszczowa - miasto (4)";912;
2661000;"Powiat m.Kielce";161110;
2661011;"Kielce (1)";161110;
2800000;"WARMIŃSKO-MAZURSKIE";604671;
2801000;"Powiat bartoszycki";23373;
2801011;"Bartoszyce (1)";20094;
2801021;"Górowo Iławeckie (1)";2642;
2801032;"Bartoszyce (2)";291;
2801043;"Bisztynek (3)";25;
2801045;"Bisztynek - obszar wiejski (5)";25;
2801052;"Górowo Iławeckie (2)";321;
2803000;"Powiat działdowski";31497;
2803011;"Działdowo (1)";19222;
2803022;"Działdowo (2)";1424;
2803032;"Iłowo-Osada (2)";2733;
2803043;"Lidzbark (3)";7436;
2803044;"Lidzbark - miasto (4)";7321;
2803045;"Lidzbark - obszar wiejski (5)";115;
2803052;"Płośnica (2)";629;
2803062;"Rybno (2)";53;
2804000;"Powiat elbląski";1848;
2804012;"Elbląg (2)";1845;
2804073;"Pasłęk (3)";3;
2804075;"Pasłęk - obszar wiejski (5)";3;
2805000;"Powiat ełcki";40444;
2805011;"Ełk (1)";40264;
2805022;"Ełk (2)";157;
2805032;"Kalinowo (2)";23;
2806000;"Powiat giżycki";33406;
2806011;"Giżycko (1)";24223;
2806042;"Giżycko (2)";4234;
2806083;"Ryn (3)";4949;
2806084;"Ryn - miasto (4)";2591;
2806085;"Ryn - obszar wiejski (5)";2358;
2807000;"Powiat iławski";28830;
2807011;"Iława (1)";23437;
2807021;"Lubawa (1)";304;
2807032;"Iława (2)";871;
2807043;"Kisielice (3)";271;
2807045;"Kisielice - obszar wiejski (5)";271;
2807052;"Lubawa (2)";69;
2807063;"Susz (3)";3875;
2807064;"Susz - miasto (4)";3850;
2807065;"Susz - obszar wiejski (5)";25;
2807073;"Zalewo (3)";3;
2807075;"Zalewo - obszar wiejski (5)";3;
2808000;"Powiat kętrzyński";31839;
2808011;"Kętrzyn (1)";25198;
2808022;"Barciany (2)";152;
2808032;"Kętrzyn (2)";1033;
2808043;"Korsze (3)";496;
2808044;"Korsze - miasto (4)";493;
2808045;"Korsze - obszar wiejski (5)";3;
2808053;"Reszel (3)";4013;
2808054;"Reszel - miasto (4)";3823;
2808055;"Reszel - obszar wiejski (5)";190;
2808062;"Srokowo (2)";947;
2809000;"Powiat lidzbarski";9568;
2809011;"Lidzbark Warmiński (1)";9357;
2809032;"Lidzbark Warmiński (2)";74;
2809042;"Lubomino (2)";134;
2809053;"Orneta (3)";3;
2809055;"Orneta - obszar wiejski (5)";3;
2810000;"Powiat mrągowski";21009;
2810011;"Mrągowo (1)";17075;
2810023;"Mikołajki (3)";3229;
2810024;"Mikołajki - miasto (4)";3229;
2810032;"Mrągowo (2)";705;
2811000;"Powiat nidzicki";11655;
2811043;"Nidzica (3)";11655;
2811044;"Nidzica - miasto (4)";11092;
2811045;"Nidzica - obszar wiejski (5)";563;
2812000;"Powiat nowomiejski";700;
2812011;"Nowe Miasto Lubawskie (1)";453;
2812022;"Biskupiec (2)";3;
2812042;"Kurzętnik (2)";190;
2812052;"Nowe Miasto Lubawskie (2)";54;
2813000;"Powiat olecki";12205;
2813043;"Olecko (3)";12205;
2813044;"Olecko - miasto (4)";12205;
2814000;"Powiat olsztyński";42459;
2814013;"Barczewo (3)";8321;
2814014;"Barczewo - miasto (4)";6023;
2814015;"Barczewo - obszar wiejski (5)";2298;
2814023;"Biskupiec (3)";4708;
2814024;"Biskupiec - miasto (4)";4559;
2814025;"Biskupiec - obszar wiejski (5)";149;
2814033;"Dobre Miasto (3)";8018;
2814034;"Dobre Miasto - miasto (4)";8002;
2814035;"Dobre Miasto - obszar wiejski (5)";16;
2814042;"Dywity (2)";6621;
2814052;"Gietrzwałd (2)";1322;
2814072;"Jonkowo (2)";1804;
2814093;"Olsztynek (3)";6846;
2814094;"Olsztynek - miasto (4)";6491;
2814095;"Olsztynek - obszar wiejski (5)";355;
2814102;"Purda (2)";1237;
2814112;"Stawiguda (2)";3582;
2815000;"Powiat ostródzki";38429;
2815011;"Ostróda (1)";26545;
2815063;"Miłakowo (3)";702;
2815064;"Miłakowo - miasto (4)";699;
2815065;"Miłakowo - obszar wiejski (5)";3;
2815083;"Morąg (3)";8561;
2815084;"Morąg - miasto (4)";8561;
2815092;"Ostróda (2)";2621;
2816000;"Powiat piski";12918;
2816033;"Pisz (3)";12895;
2816034;"Pisz - miasto (4)";12846;
2816035;"Pisz - obszar wiejski (5)";49;
2816043;"Ruciane-Nida (3)";23;
2816044;"Ruciane-Nida - miasto (4)";23;
2817000;"Powiat szczycieński";23551;
2817011;"Szczytno (1)";20797;
2817032;"Jedwabno (2)";3;
2817062;"Szczytno (2)";2751;
2818000;"Powiat gołdapski";144;
2818033;"Gołdap (3)";144;
2818034;"Gołdap - miasto (4)";144;
2819000;"Powiat węgorzewski";12162;
2819022;"Pozezdrze (2)";847;
2819033;"Węgorzewo (3)";11315;
2819034;"Węgorzewo - miasto (4)";11121;
2819035;"Węgorzewo - obszar wiejski (5)";194;
2861000;"Powiat m.Elbląg";97461;
2861011;"Elbląg (1)";97461;
2862000;"Powiat m.Olsztyn";131173;
2862011;"Olsztyn (1)";131173;
3000000;"WIELKOPOLSKIE";1814696;
3001000;"Powiat chodzieski";29355;
3001011;"Chodzież (1)";17793;
3001022;"Budzyń (2)";4202;
3001032;"Chodzież (2)";1201;
3001043;"Margonin (3)";3746;
3001044;"Margonin - miasto (4)";2827;
3001045;"Margonin - obszar wiejski (5)";919;
3001053;"Szamocin (3)";2413;
3001054;"Szamocin - miasto (4)";2135;
3001055;"Szamocin - obszar wiejski (5)";278;
3002000;"Powiat czarnkowsko-trzcianecki";17319;
3002011;"Czarnków (1)";10105;
3002022;"Czarnków (2)";21;
3002052;"Lubasz (2)";208;
3002073;"Trzcianka (3)";6909;
3002074;"Trzcianka - miasto (4)";6899;
3002075;"Trzcianka - obszar wiejski (5)";10;
