"Kod";"Nazwa";"ludność korzystająca z  sieci kanalizacyjnej;2020;[osoba]";
1609074;"Niemodlin - miasto (4)";5805;
1609075;"Niemodlin - obszar wiejski (5)";1835;
1609083;"Ozimek (3)";17083;
1609084;"Ozimek - miasto (4)";8422;
1609085;"Ozimek - obszar wiejski (5)";8661;
1609092;"Popielów (2)";6140;
1609103;"Prószków (3)";7583;
1609104;"Prószków - miasto (4)";2025;
1609105;"Prószków - obszar wiejski (5)";5558;
1609112;"Tarnów Opolski (2)";6371;
1609123;"Tułowice (3)";5179;
1609124;"Tułowice - miasto (4)";4014;
1609125;"Tułowice - obszar wiejski (5)";1165;
1609132;"Turawa (2)";8609;
1610000;"Powiat prudnicki";30452;
1610013;"Biała (3)";2020;
1610014;"Biała - miasto (4)";2020;
1610023;"Głogówek (3)";6740;
1610024;"Głogówek - miasto (4)";4875;
1610025;"Głogówek - obszar wiejski (5)";1865;
1610043;"Prudnik (3)";21692;
1610044;"Prudnik - miasto (4)";19139;
1610045;"Prudnik - obszar wiejski (5)";2553;
1611000;"Powiat strzelecki";56840;
1611012;"Izbicko (2)";3134;
1611022;"Jemielnica (2)";5326;
1611033;"Kolonowskie (3)";5077;
1611034;"Kolonowskie - miasto (4)";2697;
1611035;"Kolonowskie - obszar wiejski (5)";2380;
1611043;"Leśnica (3)";4384;
1611044;"Leśnica - miasto (4)";2220;
1611045;"Leśnica - obszar wiejski (5)";2164;
1611053;"Strzelce Opolskie (3)";24143;
1611054;"Strzelce Opolskie - miasto (4)";15510;
1611055;"Strzelce Opolskie - obszar wiejski (5)";8633;
1611063;"Ujazd (3)";5496;
1611064;"Ujazd - miasto (4)";1470;
1611065;"Ujazd - obszar wiejski (5)";4026;
1611073;"Zawadzkie (3)";9280;
1611074;"Zawadzkie - miasto (4)";6362;
1611075;"Zawadzkie - obszar wiejski (5)";2918;
1661000;"Powiat m.Opole";121242;
1661011;"Opole (1)";121242;
1800000;"PODKARPACKIE";1522739;
1801000;"Powiat bieszczadzki";10444;
1801032;"Czarna (2)";545;
1801052;"Lutowiska (2)";1418;
1801083;"Ustrzyki Dolne (3)";8481;
1801084;"Ustrzyki Dolne - miasto (4)";7863;
1801085;"Ustrzyki Dolne - obszar wiejski (5)";618;
1802000;"Powiat brzozowski";38266;
1802013;"Brzozów (3)";16316;
1802014;"Brzozów - miasto (4)";6296;
1802015;"Brzozów - obszar wiejski (5)";10020;
1802022;"Domaradz (2)";2335;
1802032;"Dydnia (2)";5256;
1802042;"Haczów (2)";7758;
1802052;"Jasienica Rosielna (2)";5714;
1802062;"Nozdrzec (2)";887;
1803000;"Powiat dębicki";89816;
1803011;"Dębica (1)";38508;
1803023;"Brzostek (3)";4696;
1803024;"Brzostek - miasto (4)";2229;
1803025;"Brzostek - obszar wiejski (5)";2467;
1803032;"Czarna (2)";7566;
1803042;"Dębica (2)";21821;
1803052;"Jodłowa (2)";874;
1803063;"Pilzno (3)";5815;
1803064;"Pilzno - miasto (4)";3825;
1803065;"Pilzno - obszar wiejski (5)";1990;
1803072;"Żyraków (2)";10536;
1804000;"Powiat jarosławski";88522;
1804011;"Jarosław (1)";30834;
1804021;"Radymno (1)";3761;
1804032;"Chłopice (2)";5285;
1804042;"Jarosław (2)";11847;
1804052;"Laszki (2)";3176;
1804062;"Pawłosiów (2)";6936;
1804073;"Pruchnik (3)";5399;
1804074;"Pruchnik - miasto (4)";3648;
1804075;"Pruchnik - obszar wiejski (5)";1751;
1804082;"Radymno (2)";4773;
1804092;"Rokietnica (2)";3313;
1804102;"Roźwienica (2)";5548;
1804112;"Wiązownica (2)";7650;
1805000;"Powiat jasielski";67345;
1805011;"Jasło (1)";30861;
1805032;"Dębowiec (2)";2920;
1805042;"Jasło (2)";13193;
1805053;"Kołaczyce (3)";5129;
1805054;"Kołaczyce - miasto (4)";1161;
1805055;"Kołaczyce - obszar wiejski (5)";3968;
1805062;"Krempna (2)";744;
1805072;"Nowy Żmigród (2)";4772;
1805082;"Osiek Jasielski (2)";2153;
1805092;"Skołyszyn (2)";5907;
1805112;"Tarnowiec (2)";1666;
1806000;"Powiat kolbuszowski";38609;
1806012;"Cmolas (2)";5199;
1806023;"Kolbuszowa (3)";11763;
1806024;"Kolbuszowa - miasto (4)";7285;
1806025;"Kolbuszowa - obszar wiejski (5)";4478;
1806032;"Majdan Królewski (2)";8073;
1806042;"Niwiska (2)";4737;
1806052;"Raniżów (2)";4390;
1806062;"Dzikowiec (2)";4447;
1807000;"Powiat krośnieński";81046;
1807012;"Chorkówka (2)";10042;
1807023;"Dukla (3)";6121;
1807024;"Dukla - miasto (4)";1909;
1807025;"Dukla - obszar wiejski (5)";4212;
1807033;"Iwonicz-Zdrój (3)";10536;
1807034;"Iwonicz-Zdrój - miasto (4)";1742;
1807035;"Iwonicz-Zdrój - obszar wiejski (5)";8794;
1807043;"Jedlicze (3)";10715;
1807044;"Jedlicze - miasto (4)";4336;
1807045;"Jedlicze - obszar wiejski (5)";6379;
1807052;"Korczyna (2)";6156;
1807062;"Krościenko Wyżne (2)";5521;
1807072;"Miejsce Piastowe (2)";13052;
1807083;"Rymanów (3)";13141;
1807084;"Rymanów - miasto (4)";3219;
1807085;"Rymanów - obszar wiejski (5)";9922;
1807092;"Wojaszówka (2)";5664;
1807102;"Jaśliska (2)";98;
1808000;"Powiat leżajski";46453;
1808011;"Leżajsk (1)";12059;
1808022;"Grodzisko Dolne (2)";4619;
1808032;"Kuryłówka (2)";3892;
1808042;"Leżajsk (2)";11862;
1808053;"Nowa Sarzyna (3)";14021;
1808054;"Nowa Sarzyna - miasto (4)";5456;
1808055;"Nowa Sarzyna - obszar wiejski (5)";8565;
1809000;"Powiat lubaczowski";41509;
1809011;"Lubaczów (1)";11234;
1809023;"Cieszanów (3)";5503;
1809024;"Cieszanów - miasto (4)";1459;
1809025;"Cieszanów - obszar wiejski (5)";4044;
1809032;"Horyniec-Zdrój (2)";3024;
1809042;"Lubaczów (2)";6271;
1809053;"Narol (3)";5477;
1809054;"Narol - miasto (4)";1891;
1809055;"Narol - obszar wiejski (5)";3586;
1809063;"Oleszyce (3)";6203;
1809064;"Oleszyce - miasto (4)";2946;
1809065;"Oleszyce - obszar wiejski (5)";3257;
1809072;"Stary Dzików (2)";3797;
1810000;"Powiat łańcucki";67611;
1810011;"Łańcut (1)";16373;
1810022;"Białobrzegi (2)";7684;
1810032;"Czarna (2)";10372;
1810042;"Łańcut (2)";20018;
1810052;"Markowa (2)";3222;
1810062;"Rakszawa (2)";4411;
1810072;"Żołynia (2)";5531;
1811000;"Powiat mielecki";92064;
1811011;"Mielec (1)";57694;
1811022;"Borowa (2)";1725;
1811032;"Czermin (2)";2628;
1811042;"Gawłuszowice (2)";53;
1811052;"Mielec (2)";8836;
1811062;"Padew Narodowa (2)";4681;
1811073;"Przecław (3)";5237;
1811074;"Przecław - miasto (4)";1788;
1811075;"Przecław - obszar wiejski (5)";3449;
1811083;"Radomyśl Wielki (3)";6425;
1811084;"Radomyśl Wielki - miasto (4)";2478;
1811085;"Radomyśl Wielki - obszar wiejski (5)";3947;
1811092;"Tuszów Narodowy (2)";2673;
1811102;"Wadowice Górne (2)";2112;
1812000;"Powiat niżański";42755;
1812012;"Harasiuki (2)";618;
1812022;"Jarocin (2)";4098;
1812032;"Jeżowe (2)";8018;
1812042;"Krzeszów (2)";1697;
1812053;"Nisko (3)";16627;
1812054;"Nisko - miasto (4)";12764;
1812055;"Nisko - obszar wiejski (5)";3863;
1812063;"Rudnik nad Sanem (3)";5752;
1812064;"Rudnik nad Sanem - miasto (4)";5088;
1812065;"Rudnik nad Sanem - obszar wiejski (5)";664;
1812073;"Ulanów (3)";5945;
1812074;"Ulanów - miasto (4)";1245;
1812075;"Ulanów - obszar wiejski (5)";4700;
1813000;"Powiat przemyski";47481;
1813012;"Bircza (2)";2330;
1813022;"Dubiecko (2)";3228;
1813032;"Fredropol (2)";2220;
1813042;"Krasiczyn (2)";4143;
1813052;"Krzywcza (2)";1794;
1813062;"Medyka (2)";6204;
1813072;"Orły (2)";8302;
1813082;"Przemyśl (2)";5332;
1813092;"Stubno (2)";2948;
1813102;"Żurawica (2)";10980;
1814000;"Powiat przeworski";61547;
1814011;"Przeworsk (1)";13976;
1814022;"Adamówka (2)";3039;
1814032;"Gać (2)";3755;
1814042;"Jawornik Polski (2)";1103;
1814053;"Kańczuga (3)";8182;
1814054;"Kańczuga - miasto (4)";2892;
1814055;"Kańczuga - obszar wiejski (5)";5290;
1814062;"Przeworsk (2)";13068;
1814073;"Sieniawa (3)";5163;
1814074;"Sieniawa - miasto (4)";2131;
1814075;"Sieniawa - obszar wiejski (5)";3032;
1814082;"Tryńcza (2)";7089;
1814092;"Zarzecze (2)";6172;
1815000;"Powiat ropczycko-sędziszowski";40311;
1815012;"Iwierzyce (2)";3935;
1815022;"Ostrów (2)";5357;
1815033;"Ropczyce (3)";15813;
1815034;"Ropczyce - miasto (4)";11627;
1815035;"Ropczyce - obszar wiejski (5)";4186;
1815043;"Sędziszów Małopolski (3)";15206;
1815044;"Sędziszów Małopolski - miasto (4)";10927;
1815045;"Sędziszów Małopolski - obszar wiejski (5)";4279;
1816000;"Powiat rzeszowski";125121;
1816011;"Dynów (1)";4262;
1816023;"Błażowa (3)";2366;
1816024;"Błażowa - miasto (4)";1816;
1816025;"Błażowa - obszar wiejski (5)";550;
1816033;"Boguchwała (3)";17794;
1816034;"Boguchwała - miasto (4)";5847;
1816035;"Boguchwała - obszar wiejski (5)";11947;
1816042;"Chmielnik (2)";4722;
1816052;"Dynów (2)";281;
1816063;"Głogów Małopolski (3)";16888;
1816064;"Głogów Małopolski - miasto (4)";8631;
1816065;"Głogów Małopolski - obszar wiejski (5)";8257;
1816072;"Hyżne (2)";2898;
1816082;"Kamień (2)";5241;
1816092;"Krasne (2)";10923;
1816102;"Lubenia (2)";4535;
1816113;"Sokołów Małopolski (3)";12805;
1816114;"Sokołów Małopolski - miasto (4)";3437;
1816115;"Sokołów Małopolski - obszar wiejski (5)";9368;
1816122;"Świlcza (2)";14016;
1816132;"Trzebownisko (2)";21272;
1816143;"Tyczyn (3)";7118;
1816144;"Tyczyn - miasto (4)";3496;
1816145;"Tyczyn - obszar wiejski (5)";3622;
1817000;"Powiat sanocki";71329;
1817011;"Sanok (1)";36950;
1817022;"Besko (2)";4125;
1817032;"Bukowsko (2)";344;
1817042;"Komańcza (2)";2223;
1817052;"Sanok (2)";11349;
1817062;"Tyrawa Wołoska (2)";246;
1817073;"Zagórz (3)";8904;
1817074;"Zagórz - miasto (4)";4089;
1817075;"Zagórz - obszar wiejski (5)";4815;
1817082;"Zarszyn (2)";7188;
1818000;"Powiat stalowowolski";73033;
1818011;"Stalowa Wola (1)";52897;
1818022;"Bojanów (2)";3016;
1818032;"Pysznica (2)";5333;
1818042;"Radomyśl nad Sanem (2)";829;
1818053;"Zaklików (3)";5189;
1818054;"Zaklików - miasto (4)";2692;
1818055;"Zaklików - obszar wiejski (5)";2497;
1818062;"Zaleszany (2)";5769;
1819000;"Powiat strzyżowski";21776;
1819012;"Czudec (2)";5708;
1819022;"Frysztak (2)";4168;
1819032;"Niebylec (2)";2029;
1819043;"Strzyżów (3)";7935;
1819044;"Strzyżów - miasto (4)";6754;
1819045;"Strzyżów - obszar wiejski (5)";1181;
1819052;"Wiśniowa (2)";1936;
1820000;"Powiat tarnobrzeski";36810;
1820013;"Baranów Sandomierski (3)";4609;
1820014;"Baranów Sandomierski - miasto (4)";1057;
1820015;"Baranów Sandomierski - obszar wiejski (5)";3552;
1820022;"Gorzyce (2)";9858;
1820032;"Grębów (2)";6554;
1820043;"Nowa Dęba (3)";15789;
1820044;"Nowa Dęba - miasto (4)";10460;
1820045;"Nowa Dęba - obszar wiejski (5)";5329;
1821000;"Powiat leski";13812;
1821012;"Baligród (2)";994;
1821022;"Cisna (2)";979;
1821033;"Lesko (3)";8277;
1821034;"Lesko - miasto (4)";4709;
1821035;"Lesko - obszar wiejski (5)";3568;
1821042;"Olszanica (2)";467;
1821052;"Solina (2)";3095;
1861000;"Powiat m.Krosno";41672;
1861011;"Krosno (1)";41672;
1862000;"Powiat m.Przemyśl";55462;
1862011;"Przemyśl (1)";55462;
1863000;"Powiat m.Rzeszów";188985;
1863011;"Rzeszów (1)";188985;
1864000;"Powiat m.Tarnobrzeg";40960;
1864011;"Tarnobrzeg (1)";40960;
2000000;"PODLASKIE";764327;
2001000;"Powiat augustowski";33750;
2001011;"Augustów (1)";27187;
2001022;"Augustów (2)";1383;
2001032;"Bargłów Kościelny (2)";623;
2001043;"Lipsk (3)";1828;
2001044;"Lipsk - miasto (4)";1828;
2001052;"Nowinka (2)";1670;
2001072;"Sztabin (2)";1059;
2002000;"Powiat białostocki";93868;
2002013;"Choroszcz (3)";7745;
2002014;"Choroszcz - miasto (4)";4757;
2002015;"Choroszcz - obszar wiejski (5)";2988;
2002023;"Czarna Białostocka (3)";8181;
2002024;"Czarna Białostocka - miasto (4)";7517;
2002025;"Czarna Białostocka - obszar wiejski (5)";664;
2002032;"Dobrzyniewo Duże (2)";4895;
2002042;"Gródek (2)";2385;
2002052;"Juchnowiec Kościelny (2)";11573;
2002063;"Łapy (3)";18089;
2002064;"Łapy - miasto (4)";14447;
2002065;"Łapy - obszar wiejski (5)";3642;
2002073;"Michałowo (3)";3370;
2002074;"Michałowo - miasto (4)";2972;
2002075;"Michałowo - obszar wiejski (5)";398;
2002082;"Poświętne (2)";1678;
2002093;"Supraśl (3)";13763;
2002094;"Supraśl - miasto (4)";4293;
2002095;"Supraśl - obszar wiejski (5)";9470;
2002103;"Suraż (3)";713;
2002104;"Suraż - miasto (4)";713;
2002112;"Turośń Kościelna (2)";2156;
2002123;"Tykocin (3)";1365;
2002124;"Tykocin - miasto (4)";1337;
2002125;"Tykocin - obszar wiejski (5)";28;
2002133;"Wasilków (3)";15656;
2002134;"Wasilków - miasto (4)";11370;
2002135;"Wasilków - obszar wiejski (5)";4286;
2002143;"Zabłudów (3)";2299;
2002144;"Zabłudów - miasto (4)";1914;
2002145;"Zabłudów - obszar wiejski (5)";385;
2003000;"Powiat bielski";28277;
2003011;"Bielsk Podlaski (1)";20552;
2003021;"Brańsk (1)";3396;
2003032;"Bielsk Podlaski (2)";1034;
2003042;"Boćki (2)";895;
2003052;"Brańsk (2)";121;
2003062;"Orla (2)";607;
2003072;"Rudka (2)";1373;
2003082;"Wyszki (2)";299;
2004000;"Powiat grajewski";24791;
2004011;"Grajewo (1)";18507;
2004022;"Grajewo (2)";112;
2004032;"Radziłów (2)";1362;
2004043;"Rajgród (3)";1459;
2004044;"Rajgród - miasto (4)";1114;
2004045;"Rajgród - obszar wiejski (5)";345;
2004053;"Szczuczyn (3)";1745;
2004054;"Szczuczyn - miasto (4)";1610;
2004055;"Szczuczyn - obszar wiejski (5)";135;
2004062;"Wąsosz (2)";1606;
2005000;"Powiat hajnowski";26522;
2005011;"Hajnówka (1)";17709;
2005022;"Białowieża (2)";1470;
2005032;"Czeremcha (2)";1835;
2005042;"Czyże (2)";336;
2005052;"Dubicze Cerkiewne (2)";341;
2005062;"Hajnówka (2)";1345;
2005073;"Kleszczele (3)";864;
2005074;"Kleszczele - miasto (4)";781;
2005075;"Kleszczele - obszar wiejski (5)";83;
2005082;"Narew (2)";840;
2005092;"Narewka (2)";1782;
2006000;"Powiat kolneński";12488;
2006011;"Kolno (1)";8909;
2006022;"Grabowo (2)";616;
2006042;"Mały Płock (2)";379;
2006053;"Stawiski (3)";1865;
2006054;"Stawiski - miasto (4)";1865;
2006062;"Turośl (2)";719;
2007000;"Powiat łomżyński";10726;
2007013;"Jedwabne (3)";1141;
2007014;"Jedwabne - miasto (4)";1141;
2007022;"Łomża (2)";2821;
2007043;"Nowogród (3)";1805;
2007044;"Nowogród - miasto (4)";1805;
2007052;"Piątnica (2)";2915;
2007072;"Śniadowo (2)";1012;
2007082;"Wizna (2)";1032;
2008000;"Powiat moniecki";18527;
2008013;"Goniądz (3)";1399;
2008014;"Goniądz - miasto (4)";1378;
2008015;"Goniądz - obszar wiejski (5)";21;
2008022;"Jasionówka (2)";593;
2008032;"Jaświły (2)";1451;
2008043;"Knyszyn (3)";2898;
2008044;"Knyszyn - miasto (4)";2425;
2008045;"Knyszyn - obszar wiejski (5)";473;
2008052;"Krypno (2)";1965;
2008063;"Mońki (3)";9027;
2008064;"Mońki - miasto (4)";9014;
2008065;"Mońki - obszar wiejski (5)";13;
2008072;"Trzcianne (2)";1194;
2009000;"Powiat sejneński";5272;
2009011;"Sejny (1)";3952;
2009042;"Puńsk (2)";1320;
2010000;"Powiat siemiatycki";16050;
2010011;"Siemiatycze (1)";11858;
2010023;"Drohiczyn (3)";1352;
2010024;"Drohiczyn - miasto (4)";1208;
2010025;"Drohiczyn - obszar wiejski (5)";144;
2010032;"Dziadkowice (2)";603;
2010042;"Grodzisk (2)";621;
2010052;"Mielnik (2)";579;
2010072;"Nurzec-Stacja (2)";594;
2010092;"Siemiatycze (2)";443;
2011000;"Powiat sokólski";27888;
2011013;"Dąbrowa Białostocka (3)";4915;
2011014;"Dąbrowa Białostocka - miasto (4)";4646;
2011015;"Dąbrowa Białostocka - obszar wiejski (5)";269;
2011022;"Janów (2)";743;
2011032;"Korycin (2)";500;
2011043;"Krynki (3)";1594;
2011044;"Krynki - miasto (4)";1594;
2011052;"Kuźnica (2)";1364;
2011062;"Nowy Dwór (2)";599;
2011072;"Sidra (2)";469;
2011083;"Sokółka (3)";15200;
2011084;"Sokółka - miasto (4)";14990;
2011085;"Sokółka - obszar wiejski (5)";210;
2011093;"Suchowola (3)";1886;
2011094;"Suchowola - miasto (4)";1678;
2011095;"Suchowola - obszar wiejski (5)";208;
2011102;"Szudziałowo (2)";618;
2012000;"Powiat suwalski";12897;
2012012;"Bakałarzewo (2)";1633;
2012022;"Filipów (2)";2125;
2012032;"Jeleniewo (2)";701;
2012042;"Przerośl (2)";832;
2012052;"Raczki (2)";2407;
2012062;"Rutka-Tartak (2)";660;
2012072;"Suwałki (2)";3020;
2012082;"Szypliszki (2)";911;
2012092;"Wiżajny (2)";608;
2013000;"Powiat wysokomazowiecki";18241;
2013011;"Wysokie Mazowieckie (1)";8948;
2013023;"Ciechanowiec (3)";3052;
2013024;"Ciechanowiec - miasto (4)";3052;
2013033;"Czyżew (3)";2291;
2013034;"Czyżew - miasto (4)";2086;
2013035;"Czyżew - obszar wiejski (5)";205;
2013042;"Klukowo (2)";245;
2013082;"Sokoły (2)";1492;
2013093;"Szepietowo (3)";2093;
2013094;"Szepietowo - miasto (4)";1583;
2013095;"Szepietowo - obszar wiejski (5)";510;
2013102;"Wysokie Mazowieckie (2)";120;
2014000;"Powiat zambrowski";23540;
2014011;"Zambrów (1)";20522;
2014032;"Rutki (2)";1614;
2014052;"Zambrów (2)";1404;
2061000;"Powiat m.Białystok";286412;
2061011;"Białystok (1)";286412;
2062000;"Powiat m.Łomża";59012;
2062011;"Łomża (1)";59012;
2063000;"Powiat m.Suwałki";66066;
2063011;"Suwałki (1)";66066;
2200000;"POMORSKIE";1968784;
2201000;"Powiat bytowski";60487;
2201012;"Borzytuchom (2)";2526;
2201023;"Bytów (3)";22600;
2201024;"Bytów - miasto (4)";15813;
2201025;"Bytów - obszar wiejski (5)";6787;
2201032;"Czarna Dąbrówka (2)";3805;
2201042;"Kołczygłowy (2)";2726;
2201052;"Lipnica (2)";3210;
2201063;"Miastko (3)";14886;
2201064;"Miastko - miasto (4)";9305;
2201065;"Miastko - obszar wiejski (5)";5581;
2201072;"Parchowo (2)";2242;
2201082;"Studzienice (2)";2645;
2201092;"Trzebielino (2)";2998;
2201102;"Tuchomie (2)";2849;
2202000;"Powiat chojnicki";80367;
2202011;"Chojnice (1)";39406;
2202023;"Brusy (3)";11270;
2202024;"Brusy - miasto (4)";4508;
2202025;"Brusy - obszar wiejski (5)";6762;
2202032;"Chojnice (2)";13161;
2202043;"Czersk (3)";14699;
2202044;"Czersk - miasto (4)";9083;
2202045;"Czersk - obszar wiejski (5)";5616;
2202052;"Konarzyny (2)";1831;
2203000;"Powiat człuchowski";44788;
2203011;"Człuchów (1)";12968;
2203023;"Czarne (3)";7658;
2203024;"Czarne - miasto (4)";5590;
2203025;"Czarne - obszar wiejski (5)";2068;
2203032;"Człuchów (2)";7106;
2203043;"Debrzno (3)";6838;
2203044;"Debrzno - miasto (4)";4615;
2203045;"Debrzno - obszar wiejski (5)";2223;
2203052;"Koczała (2)";2238;
2203062;"Przechlewo (2)";4759;
2203072;"Rzeczenica (2)";3221;
2204000;"Powiat gdański";101110;
2204011;"Pruszcz Gdański (1)";31355;
2204022;"Cedry Wielkie (2)";4071;
2204032;"Kolbudy (2)";16279;
2204042;"Pruszcz Gdański (2)";28917;
2204052;"Przywidz (2)";3412;
2204062;"Pszczółki (2)";8094;
2204072;"Suchy Dąb (2)";2509;
2204082;"Trąbki Wielkie (2)";6473;
2205000;"Powiat kartuski";84494;
2205012;"Chmielno (2)";4789;
2205023;"Kartuzy (3)";22743;
2205024;"Kartuzy - miasto (4)";13849;
2205025;"Kartuzy - obszar wiejski (5)";8894;
2205032;"Przodkowo (2)";6334;
2205042;"Sierakowice (2)";10943;
2205052;"Somonino (2)";8411;
2205062;"Stężyca (2)";5664;
2205072;"Sulęczyno (2)";3280;
2205083;"Żukowo (3)";22330;
2205084;"Żukowo - miasto (4)";6720;
2205085;"Żukowo - obszar wiejski (5)";15610;
2206000;"Powiat kościerski";53508;
2206011;"Kościerzyna (1)";22676;
2206022;"Dziemiany (2)";3234;
2206032;"Karsin (2)";4628;
2206042;"Kościerzyna (2)";8861;
2206052;"Liniewo (2)";2777;
2206062;"Lipusz (2)";2920;
2206072;"Nowa Karczma (2)";3927;
2206082;"Stara Kiszewa (2)";4485;
2207000;"Powiat kwidzyński";61960;
2207011;"Kwidzyn (1)";36236;
2207022;"Gardeja (2)";4036;
2207032;"Kwidzyn (2)";9758;
2207043;"Prabuty (3)";7968;
2207044;"Prabuty - miasto (4)";7168;
2207045;"Prabuty - obszar wiejski (5)";800;
2207052;"Ryjewo (2)";2265;
2207062;"Sadlinki (2)";1697;
2208000;"Powiat lęborski";50438;
2208011;"Lębork (1)";33071;
2208021;"Łeba (1)";3537;
2208032;"Cewice (2)";5965;
2208042;"Nowa Wieś Lęborska (2)";5604;
2208052;"Wicko (2)";2261;
2209000;"Powiat malborski";49607;
2209011;"Malbork (1)";34551;
2209032;"Lichnowy (2)";2878;
2209042;"Malbork (2)";1146;
2209062;"Miłoradz (2)";2379;
2209073;"Nowy Staw (3)";5350;
2209074;"Nowy Staw - miasto (4)";4225;
2209075;"Nowy Staw - obszar wiejski (5)";1125;
2209082;"Stare Pole (2)";3303;
2210000;"Powiat nowodworski";25283;
2210011;"Krynica Morska (1)";1289;
2210023;"Nowy Dwór Gdański (3)";11745;
2210024;"Nowy Dwór Gdański - miasto (4)";9188;
2210025;"Nowy Dwór Gdański - obszar wiejski (5)";2557;
2210032;"Ostaszewo (2)";230;
2210042;"Stegna (2)";8528;
2210052;"Sztutowo (2)";3491;
2211000;"Powiat pucki";77725;
2211011;"Hel (1)";3064;
2211023;"Jastarnia (3)";3560;
2211024;"Jastarnia - miasto (4)";2631;
2211025;"Jastarnia - obszar wiejski (5)";929;
2211031;"Puck (1)";10800;
2211043;"Władysławowo (3)";14872;
2211044;"Władysławowo - miasto (4)";9667;
2211045;"Władysławowo - obszar wiejski (5)";5205;
2211052;"Kosakowo (2)";15816;
2211062;"Krokowa (2)";9627;
2211072;"Puck (2)";19986;
2212000;"Powiat słupski";81099;
2212011;"Ustka (1)";14890;
2212022;"Damnica (2)";4980;
2212032;"Dębnica Kaszubska (2)";8298;
2212042;"Główczyce (2)";5389;
2212053;"Kępice (3)";6264;
2212054;"Kępice - miasto (4)";3391;
2212055;"Kępice - obszar wiejski (5)";2873;
2212062;"Kobylnica (2)";12406;
2212072;"Potęgowo (2)";4678;
2212082;"Słupsk (2)";16757;
2212092;"Smołdzino (2)";1096;
2212102;"Ustka (2)";6341;
2213000;"Powiat starogardzki";83401;
2213013;"Czarna Woda (3)";1659;
2213014;"Czarna Woda - miasto (4)";1659;
2213021;"Skórcz (1)";3571;
2213031;"Starogard Gdański (1)";41936;
2213042;"Bobowo (2)";1194;
2213052;"Kaliska (2)";3670;
2213062;"Lubichowo (2)";2465;
2213082;"Osiek (2)";905;
2213093;"Skarszewy (3)";8495;
2213094;"Skarszewy - miasto (4)";6395;
2213095;"Skarszewy - obszar wiejski (5)";2100;
2213102;"Skórcz (2)";1790;
2213112;"Smętowo Graniczne (2)";2598;
2213122;"Starogard Gdański (2)";9373;
2213132;"Zblewo (2)";5745;
2214000;"Powiat tczewski";99269;
2214011;"Tczew (1)";56635;
2214023;"Gniew (3)";9856;
2214024;"Gniew - miasto (4)";5822;
2214025;"Gniew - obszar wiejski (5)";4034;
2214032;"Morzeszczyn (2)";2087;
2214043;"Pelplin (3)";12532;
2214044;"Pelplin - miasto (4)";7430;
2214045;"Pelplin - obszar wiejski (5)";5102;
2214052;"Subkowy (2)";3566;
2214062;"Tczew (2)";14593;
2215000;"Powiat wejherowski";181964;
2215011;"Reda (1)";20570;
2215021;"Rumia (1)";44503;
2215031;"Wejherowo (1)";48509;
2215042;"Choczewo (2)";2297;
2215052;"Gniewino (2)";5828;
2215062;"Linia (2)";3153;
2215072;"Luzino (2)";13958;
2215082;"Łęczyce (2)";8739;
2215092;"Szemud (2)";9586;
2215102;"Wejherowo (2)";24821;
2216000;"Powiat sztumski";25785;
2216013;"Dzierzgoń (3)";7911;
2216014;"Dzierzgoń - miasto (4)";5288;
2216015;"Dzierzgoń - obszar wiejski (5)";2623;
2216022;"Mikołajki Pomorskie (2)";2485;
2216032;"Stary Dzierzgoń (2)";1139;
2216042;"Stary Targ (2)";1321;
2216053;"Sztum (3)";12929;
2216054;"Sztum - miasto (4)";9357;
2216055;"Sztum - obszar wiejski (5)";3572;
2261000;"Powiat m.Gdańsk";454551;
2261011;"Gdańsk (1)";454551;
2262000;"Powiat m.Gdynia";232512;
2262011;"Gdynia (1)";232512;
2263000;"Powiat m.Słupsk";85161;
2263011;"Słupsk (1)";85161;
2264000;"Powiat m.Sopot";35275;
2264011;"Sopot (1)";35275;
2400000;"ŚLĄSKIE";3546247;
2401000;"Powiat będziński";101057;
2401011;"Będzin (1)";48672;
2401021;"Czeladź (1)";28030;
2401031;"Wojkowice (1)";5257;
2401042;"Bobrowniki (2)";7268;
2401052;"Mierzęcice (2)";5160;
2401062;"Psary (2)";406;
2401073;"Siewierz (3)";2831;
2401074;"Siewierz - miasto (4)";2831;
2401081;"Sławków (1)";3433;
2402000;"Powiat bielski";91844;
2402011;"Szczyrk (1)";3306;
2402022;"Bestwina (2)";4739;
2402032;"Buczkowice (2)";10446;
2402043;"Czechowice-Dziedzice (3)";33692;
2402044;"Czechowice-Dziedzice - miasto (4)";28087;
2402045;"Czechowice-Dziedzice - obszar wiejski (5)";5605;
2402052;"Jasienica (2)";3946;
2402062;"Jaworze (2)";5396;
2402072;"Kozy (2)";6173;
2402082;"Porąbka (2)";4527;
2402093;"Wilamowice (3)";10393;
2402094;"Wilamowice - miasto (4)";2727;
2402095;"Wilamowice - obszar wiejski (5)";7666;
2402102;"Wilkowice (2)";9226;
2403000;"Powiat cieszyński";110710;
2403011;"Cieszyn (1)";28040;
2403021;"Ustroń (1)";14482;
2403031;"Wisła (1)";7051;
2403042;"Brenna (2)";7194;
2403052;"Chybie (2)";6427;
2403062;"Dębowiec (2)";2594;
2403072;"Goleszów (2)";2604;
2403082;"Hażlach (2)";5386;
2403092;"Istebna (2)";4016;
2403103;"Skoczów (3)";20237;
