"Kod";"Nazwa";"ścieżki rowerowe na 10 tys. km2;2020;[km]";"ścieżki rowerowe na 10 tys. ludności;2020;[km]";
3018063;"Mikstat (3)";91,8;1,34;
3018073;"Ostrzeszów (3)";1104,6;8,68;
3019000;"Powiat pilski";698,6;6,54;
3019011;"Piła (1)";5434,4;7,69;
3019032;"Kaczory (2)";975,8;18,65;
3019043;"Łobżenica (3)";214,9;4,33;
3019052;"Miasteczko Krajeńskie (2)";211,5;4,77;
3019062;"Szydłowo (2)";172,0;4,92;
3019073;"Ujście (3)";187,3;3,02;
3019083;"Wyrzysk (3)";213,8;2,46;
3019093;"Wysoka (3)";170,7;3,22;
3020000;"Powiat pleszewski";753,1;8,56;
3020013;"Chocz (3)";95,1;1,48;
3020022;"Czermin (2)";540,3;10,74;
3020033;"Dobrzyca (3)";445,5;6,43;
3020042;"Gizałki (2)";553,4;13,07;
3020052;"Gołuchów (2)";1229,0;15,45;
3020063;"Pleszew (3)";1098,0;6,69;
3021000;"Powiat poznański";1082,2;5,06;
3021011;"Luboń (1)";8364,2;3,53;
3021021;"Puszczykowo (1)";4637,0;7,94;
3021033;"Buk (3)";971,5;6,94;
3021042;"Czerwonak (2)";2509,7;7,45;
3021052;"Dopiewo (2)";481,4;1,77;
3021062;"Kleszczewo (2)";308,9;2,46;
3021072;"Komorniki (2)";1551,0;3,27;
3021083;"Kostrzyn (3)";542,6;4,48;
3021093;"Kórnik (3)";725,3;4,37;
3021103;"Mosina (3)";589,2;2,99;
3021113;"Murowana Goślina (3)";992,9;10,09;
3021123;"Pobiedziska (3)";738,5;7,02;
3021132;"Rokietnica (2)";1059,3;4,35;
3021143;"Stęszew (3)";531,4;6,15;
3021152;"Suchy Las (2)";1629,2;10,21;
3021163;"Swarzędz (3)";1385,3;2,70;
3021172;"Tarnowo Podgórne (2)";2516,0;8,86;
3022000;"Powiat rawicki";473,3;4,35;
3022013;"Bojanowo (3)";502,0;7,12;
3022023;"Jutrosin (3)";304,7;4,97;
3022033;"Miejska Górka (3)";67,6;0,76;
3022042;"Pakosław (2)";296,8;4,69;
3022053;"Rawicz (3)";1006,2;4,46;
3023000;"Powiat słupecki";171,8;2,44;
3023011;"Słupca (1)";6116,5;4,64;
3023052;"Powidz (2)";520,5;18,10;
3023072;"Strzałkowo (2)";274,0;3,79;
3024000;"Powiat szamotulski";650,4;7,94;
3024022;"Duszniki (2)";294,3;5,01;
3024032;"Kaźmierz (2)";93,8;1,36;
3024042;"Obrzycko (2)";1037,5;25,57;
3024053;"Ostroróg (3)";117,9;2,03;
3024063;"Pniewy (3)";479,6;6,01;
3024073;"Szamotuły (3)";2501,1;14,54;
3024083;"Wronki (3)";99,4;1,57;
3025000;"Powiat średzki";392,7;4,14;
3025022;"Krzykosy (2)";126,4;1,95;
3025032;"Nowe Miasto nad Wartą (2)";83,3;1,11;
3025043;"Środa Wielkopolska (3)";1018,5;6,42;
3025052;"Zaniemyśl (2)";93,9;1,44;
3026000;"Powiat śremski";378,0;3,53;
3026012;"Brodnica (2)";20,9;0,41;
3026043;"Śrem (3)";1044,3;5,09;
3027000;"Powiat turecki";309,9;3,45;
3027011;"Turek (1)";8967,2;5,48;
3027022;"Brudzew (2)";79,9;1,51;
3027033;"Dobra (3)";60,7;1,32;
3027042;"Kawęczyn (2)";158,3;3,08;
3027052;"Malanów (2)";102,6;1,68;
3027062;"Przykona (2)";802,4;19,21;
3027073;"Tuliszków (3)";33,4;0,48;
3027092;"Władysławów (2)";55,1;0,62;
3028000;"Powiat wągrowiecki";456,9;6,78;
3028011;"Wągrowiec (1)";11665,7;8,12;
3028033;"Gołańcz (3)";260,7;6,11;
3028042;"Mieścisko (2)";111,1;2,54;
3028053;"Skoki (3)";231,7;4,68;
3028062;"Wapno (2)";635,5;9,55;
3028072;"Wągrowiec (2)";368,0;10,37;
3029000;"Powiat wolsztyński";1088,7;12,89;
3029012;"Przemęt (2)";1474,6;23,47;
3029022;"Siedlec (2)";263,9;4,23;
3029033;"Wolsztyn (3)";1416,3;11,60;
3030000;"Powiat wrzesiński";181,9;1,64;
3030012;"Kołaczkowo (2)";146,7;2,84;
3030043;"Pyzdry (3)";174,1;3,50;
3030053;"Września (3)";392,2;1,83;
3031000;"Powiat złotowski";234,9;5,64;
3031011;"Złotów (1)";23747,8;14,92;
3031033;"Krajenka (3)";94,2;2,39;
3031072;"Zakrzewo (2)";80,1;2,66;
3031082;"Złotów (2)";287,4;8,40;
3061000;"Powiat m.Kalisz";7922,8;5,55;
3061011;"Kalisz (1)";7922,8;5,55;
3062000;"Powiat m.Konin";5892,4;6,69;
3062011;"Konin (1)";5892,4;6,69;
3063000;"Powiat m.Leszno";18644,1;9,45;
3063011;"Leszno (1)";18644,1;9,45;
3064000;"Powiat m.Poznań";10538,0;5,19;
3064011;"Poznań (1)";10538,0;5,19;
3200000;"ZACHODNIOPOMORSKIE";443,7;6,02;
3201000;"Powiat białogardzki";305,2;5,45;
3201011;"Białogard (1)";2565,1;2,76;
3201033;"Karlino (3)";1276,3;19,80;
3201043;"Tychowo (3)";34,2;1,79;
3202000;"Powiat choszczeński";171,0;4,73;
3202023;"Choszczno (3)";125,9;1,44;
3202033;"Drawno (3)";9,3;0,60;
3202053;"Pełczyce (3)";782,2;20,36;
3202063;"Recz (3)";199,6;6,61;
3203000;"Powiat drawski";31,2;0,97;
3203013;"Czaplinek (3)";13,7;0,43;
3203023;"Drawsko Pomorskie (3)";9,8;0,24;
3203033;"Kalisz Pomorski (3)";45,8;3,00;
3203063;"Złocieniec (3)";85,8;1,48;
3204000;"Powiat goleniowski";289,1;5,67;
3204023;"Goleniów (3)";937,2;11,48;
3204043;"Nowogard (3)";124,0;1,71;
3204052;"Osina (2)";98,4;3,31;
3205000;"Powiat gryficki";375,1;6,40;
3205023;"Gryfice (3)";76,5;0,85;
3205032;"Karnice (2)";22,5;0,76;
3205043;"Płoty (3)";29,3;0,80;
3205072;"Rewal (2)";2412,2;26,74;
3205083;"Trzebiatów (3)";1102,4;15,63;
3206000;"Powiat gryfiński";277,7;6,38;
3206012;"Banie (2)";402,3;13,27;
3206023;"Cedynia (3)";94,1;4,08;
3206033;"Chojna (3)";331,0;8,08;
3206043;"Gryfino (3)";315,1;2,53;
3206053;"Mieszkowice (3)";33,5;1,14;
3206063;"Moryń (3)";1099,8;32,28;
3206083;"Trzcińsko-Zdrój (3)";211,2;6,96;
3206092;"Widuchowa (2)";229,2;8,90;
3207000;"Powiat kamieński";486,5;10,49;
3207013;"Dziwnów (3)";2886,8;28,94;
3207033;"Kamień Pomorski (3)";656,9;9,64;
3207043;"Międzyzdroje (3)";1025,2;18,60;
3207063;"Wolin (3)";366,3;9,93;
3208000;"Powiat kołobrzeski";949,4;8,68;
3208011;"Kołobrzeg (1)";17569,1;9,76;
3208033;"Gościno (3)";224,1;5,07;
3208042;"Kołobrzeg (2)";1340,0;17,60;
3208052;"Rymań (2)";47,9;1,79;
3208072;"Ustronie Morskie (2)";193,1;3,04;
3209000;"Powiat koszaliński";409,4;10,18;
3209022;"Biesiekierz (2)";360,2;5,83;
3209033;"Bobolice (3)";10,9;0,45;
3209042;"Manowo (2)";297,4;8,09;
3209053;"Mielno (3)";2494,8;31,76;
3209063;"Polanów (3)";50,8;2,34;
3209073;"Sianów (3)";1027,5;16,82;
3209082;"Świeszyno (2)";1259,8;21,90;
3210000;"Powiat myśliborski";256,3;4,63;
3210013;"Barlinek (3)";614,6;8,27;
3210022;"Boleszkowice (2)";84,3;3,87;
3210033;"Dębno (3)";408,3;6,38;
3210043;"Myślibórz (3)";9,1;0,15;
3211000;"Powiat policki";1355,7;11,06;
3211012;"Dobra (Szczecińska) (2)";1351,1;5,95;
3211022;"Kołbaskowo (2)";1602,5;12,26;
3211033;"Nowe Warpno (3)";353,7;43,10;
3211043;"Police (3)";2042,0;12,50;
3212000;"Powiat pyrzycki";177,7;3,29;
3212053;"Pyrzyce (3)";631,7;6,71;
3213000;"Powiat sławieński";493,7;9,23;
3213011;"Darłowo (1)";7422,1;11,05;
3213021;"Sławno (1)";3790,3;4,86;
3213032;"Darłowo (2)";627,2;21,22;
3213052;"Postomino (2)";599,5;19,86;
3214000;"Powiat stargardzki";527,7;6,68;
3214011;"Stargard (1)";6926,0;4,93;
3214042;"Dolice (2)";105,4;3,25;
3214053;"Ińsko (3)";463,5;21,10;
3214062;"Kobylanka (2)";1421,8;29,60;
3214102;"Stargard (2)";335,5;7,57;
3214113;"Suchań (3)";706,5;22,09;
3215000;"Powiat szczecinecki";220,3;5,04;
3215011;"Szczecinek (1)";7116,3;8,66;
3215043;"Borne Sulinowo (3)";90,8;4,47;
3216000;"Powiat świdwiński";337,6;7,95;
3216011;"Świdwin (1)";2725,6;3,98;
3216033;"Połczyn-Zdrój (3)";633,2;14,54;
3216052;"Sławoborze (2)";477,0;22,63;
3217000;"Powiat wałecki";127,2;3,42;
3217011;"Wałcz (1)";2672,3;4,09;
3217023;"Człopa (3)";80,2;5,75;
3217033;"Mirosławiec (3)";103,3;3,92;
3217043;"Tuczno (3)";72,1;3,70;
3217052;"Wałcz (2)";19,1;0,87;
3218000;"Powiat łobeski";15,0;0,44;
3218023;"Łobez (3)";17,6;0,29;
3218043;"Resko (3)";42,1;1,52;
3261000;"Powiat m.Koszalin";8958,7;8,29;
3261011;"Koszalin (1)";8958,7;8,29;
3262000;"Powiat m.Szczecin";4943,4;3,73;
3262011;"Szczecin (1)";4943,4;3,73;
3263000;"Powiat m.Świnoujście";2113,1;10,43;
3263011;"Świnoujście (1)";2113,1;10,43;
