"Kod";"Nazwa";"stadiony;ogółem;2018;[ob.]";"hale sportowe o wymiarach od 36x19 m;ogółem;2018;[ob.]";"sale gimnastyczne o wymiarach poniżej 36x19 m i sale pomocnicze;ogółem;2018;[ob.]";"korty tenisowe;ogółem;2018;[ob.]";"pływalnie kryte;ogółem;2018;[ob.]";
1216015;"Ciężkowice - obszar wiejski (5)";0;0;0;1;0;
1216042;"Pleśna (2)";2;0;0;0;0;
1216063;"Ryglice (3)";0;0;1;0;0;
1216065;"Ryglice - obszar wiejski (5)";0;0;1;0;0;
1216072;"Rzepiennik Strzyżewski (2)";1;0;0;0;0;
1216082;"Skrzyszów (2)";1;0;0;0;0;
1216092;"Tarnów (2)";3;1;2;3;1;
1216103;"Tuchów (3)";1;1;0;0;0;
1216104;"Tuchów - miasto (4)";1;1;0;0;0;
1216112;"Wierzchosławice (2)";1;0;0;1;0;
1216122;"Wietrzychowice (2)";1;0;0;0;0;
1216133;"Wojnicz (3)";2;0;0;0;0;
1216134;"Wojnicz - miasto (4)";2;0;0;0;0;
1216143;"Zakliczyn (3)";1;1;0;0;0;
1216144;"Zakliczyn - miasto (4)";1;1;0;0;0;
1216153;"Żabno (3)";13;0;0;0;0;
1216154;"Żabno - miasto (4)";11;0;0;0;0;
1216155;"Żabno - obszar wiejski (5)";2;0;0;0;0;
1216162;"Szerzyny (2)";0;1;3;0;0;
1217000;"Powiat tatrzański";3;3;1;3;2;
1217011;"Zakopane (1)";2;1;1;3;2;
1217022;"Biały Dunajec (2)";0;1;0;0;0;
1217032;"Bukowina Tatrzańska (2)";0;1;0;0;0;
1217052;"Poronin (2)";1;0;0;0;0;
1218000;"Powiat wadowicki";14;3;15;6;4;
1218013;"Andrychów (3)";5;3;13;3;2;
1218014;"Andrychów - miasto (4)";1;2;4;0;0;
1218015;"Andrychów - obszar wiejski (5)";4;1;9;3;2;
1218033;"Kalwaria Zebrzydowska (3)";2;0;0;1;0;
1218034;"Kalwaria Zebrzydowska - miasto (4)";1;0;0;1;0;
1218035;"Kalwaria Zebrzydowska - obszar wiejski (5)";1;0;0;0;0;
1218042;"Lanckorona (2)";0;0;0;1;0;
1218052;"Mucharz (2)";1;0;2;1;0;
1218062;"Spytkowice (2)";1;0;0;0;1;
1218072;"Stryszów (2)";1;0;0;0;0;
1218093;"Wadowice (3)";3;0;0;0;1;
1218094;"Wadowice - miasto (4)";1;0;0;0;1;
1218095;"Wadowice - obszar wiejski (5)";2;0;0;0;0;
1218102;"Wieprz (2)";1;0;0;0;0;
1219000;"Powiat wielicki";18;2;0;3;2;
1219032;"Kłaj (2)";1;1;0;0;0;
1219043;"Niepołomice (3)";14;0;0;0;1;
1219044;"Niepołomice - miasto (4)";5;0;0;0;1;
1219045;"Niepołomice - obszar wiejski (5)";9;0;0;0;0;
1219053;"Wieliczka (3)";3;1;0;3;1;
1219054;"Wieliczka - miasto (4)";3;1;0;3;1;
1261000;"Powiat m.Kraków";18;26;37;75;16;
1261011;"Kraków (1)";18;26;37;75;16;
1262000;"Powiat m.Nowy Sącz";6;5;4;14;2;
1262011;"Nowy Sącz (1)";6;5;4;14;2;
1263000;"Powiat m.Tarnów";4;4;1;7;2;
1263011;"Tarnów (1)";4;4;1;7;2;
1400000;"MAZOWIECKIE";175;138;173;197;84;
1401000;"Powiat białobrzeski";2;1;0;0;0;
1401013;"Białobrzegi (3)";1;1;0;0;0;
1401014;"Białobrzegi - miasto (4)";1;1;0;0;0;
1401063;"Wyśmierzyce (3)";1;0;0;0;0;
1401064;"Wyśmierzyce - miasto (4)";1;0;0;0;0;
1402000;"Powiat ciechanowski";5;2;12;5;1;
1402011;"Ciechanów (1)";1;2;12;3;1;
1402022;"Ciechanów (2)";1;0;0;0;0;
1402033;"Glinojeck (3)";1;0;0;1;0;
1402034;"Glinojeck - miasto (4)";1;0;0;1;0;
1402042;"Gołymin-Ośrodek (2)";1;0;0;0;0;
1402052;"Grudusk (2)";1;0;0;0;0;
1402062;"Ojrzeń (2)";0;0;0;1;0;
1403000;"Powiat garwoliński";7;5;0;3;1;
1403011;"Garwolin (1)";1;1;0;2;1;
1403021;"Łaskarzew (1)";1;0;0;0;0;
1403032;"Borowie (2)";1;1;0;1;0;
1403052;"Górzno (2)";0;1;0;0;0;
1403103;"Pilawa (3)";2;1;0;0;0;
1403104;"Pilawa - miasto (4)";2;1;0;0;0;
1403112;"Sobolew (2)";1;1;0;0;0;
1403143;"Żelechów (3)";1;0;0;0;0;
1403144;"Żelechów - miasto (4)";1;0;0;0;0;
1404000;"Powiat gostyniński";4;1;0;2;1;
1404011;"Gostynin (1)";1;1;0;1;1;
1404022;"Gostynin (2)";1;0;0;0;0;
1404043;"Sanniki (3)";1;0;0;1;0;
1404044;"Sanniki - miasto (4)";1;0;0;1;0;
1404052;"Szczawin Kościelny (2)";1;0;0;0;0;
1405000;"Powiat grodziski";3;1;1;7;1;
1405011;"Milanówek (1)";0;0;0;3;0;
1405032;"Baranów (2)";0;0;0;1;0;
1405043;"Grodzisk Mazowiecki (3)";3;1;1;3;1;
1405044;"Grodzisk Mazowiecki - miasto (4)";3;1;1;2;1;
1405045;"Grodzisk Mazowiecki - obszar wiejski (5)";0;0;0;1;0;
1406000;"Powiat grójecki";6;4;0;4;3;
1406022;"Błędów (2)";1;0;0;0;0;
1406042;"Goszczyn (2)";0;1;0;0;0;
1406053;"Grójec (3)";2;1;0;2;1;
1406054;"Grójec - miasto (4)";2;1;0;2;1;
1406083;"Nowe Miasto nad Pilicą (3)";1;0;0;0;0;
1406084;"Nowe Miasto nad Pilicą - miasto (4)";1;0;0;0;0;
1406113;"Warka (3)";2;2;0;2;2;
1406114;"Warka - miasto (4)";2;2;0;2;2;
1407000;"Powiat kozienicki";3;1;0;4;1;
1407012;"Garbatka-Letnisko (2)";0;0;0;1;0;
1407022;"Głowaczów (2)";1;0;0;0;0;
1407053;"Kozienice (3)";1;1;0;3;1;
1407054;"Kozienice - miasto (4)";1;1;0;3;1;
1407062;"Magnuszew (2)";1;0;0;0;0;
1408000;"Powiat legionowski";2;2;7;2;5;
1408011;"Legionowo (1)";1;1;7;0;3;
1408022;"Jabłonna (2)";0;0;0;0;1;
1408043;"Serock (3)";1;0;0;2;1;
1408044;"Serock - miasto (4)";1;0;0;2;1;
1408052;"Wieliszew (2)";0;1;0;0;0;
1409000;"Powiat lipski";2;0;0;1;0;
1409022;"Ciepielów (2)";1;0;0;1;0;
1409033;"Lipsko (3)";1;0;0;0;0;
1409034;"Lipsko - miasto (4)";1;0;0;0;0;
1410000;"Powiat łosicki";1;0;0;0;0;
1410023;"Łosice (3)";1;0;0;0;0;
1410024;"Łosice - miasto (4)";1;0;0;0;0;
1411000;"Powiat makowski";8;2;5;0;0;
1411011;"Maków Mazowiecki (1)";5;1;3;0;0;
1411022;"Czerwonka (2)";0;0;1;0;0;
1411032;"Karniewo (2)";1;0;0;0;0;
1411052;"Młynarze (2)";0;0;1;0;0;
1411073;"Różan (3)";1;1;0;0;0;
1411074;"Różan - miasto (4)";1;1;0;0;0;
1411092;"Sypniewo (2)";1;0;0;0;0;
1412000;"Powiat miński";5;4;5;7;0;
1412011;"Mińsk Mazowiecki (1)";2;1;0;4;0;
1412042;"Cegłów (2)";0;1;0;0;0;
1412093;"Kałuszyn (3)";1;0;0;1;0;
1412094;"Kałuszyn - miasto (4)";1;0;0;1;0;
1412123;"Mrozy (3)";1;1;1;1;0;
1412124;"Mrozy - miasto (4)";1;1;1;1;0;
1412132;"Siennica (2)";0;0;0;1;0;
1412142;"Stanisławów (2)";0;1;4;0;0;
1412151;"Sulejówek (1)";1;0;0;0;0;
1413000;"Powiat mławski";2;5;2;4;1;
1413011;"Mława (1)";1;0;0;3;1;
1413022;"Dzierzgowo (2)";0;1;2;0;0;
1413042;"Radzanów (2)";0;1;0;0;0;
1413052;"Strzegowo (2)";1;0;0;0;0;
1413072;"Szreńsk (2)";0;1;0;0;0;
1413082;"Szydłowo (2)";0;1;0;1;0;
1413102;"Wiśniewo (2)";0;1;0;0;0;
1414000;"Powiat nowodworski";3;5;2;1;1;
1414011;"Nowy Dwór Mazowiecki (1)";1;2;0;1;1;
1414032;"Leoncin (2)";0;1;0;0;0;
1414043;"Nasielsk (3)";1;0;0;0;0;
1414044;"Nasielsk - miasto (4)";1;0;0;0;0;
1414052;"Pomiechówek (2)";1;1;2;0;0;
1414063;"Zakroczym (3)";0;1;0;0;0;
1414065;"Zakroczym - obszar wiejski (5)";0;1;0;0;0;
1415000;"Powiat ostrołęcki";2;0;15;6;0;
1415012;"Baranowo (2)";0;0;1;0;0;
1415032;"Czerwin (2)";0;0;3;0;0;
1415042;"Goworowo (2)";0;0;1;0;0;
1415052;"Kadzidło (2)";1;0;1;1;0;
1415072;"Łyse (2)";0;0;1;0;0;
1415083;"Myszyniec (3)";0;0;1;4;0;
1415084;"Myszyniec - miasto (4)";0;0;1;2;0;
1415085;"Myszyniec - obszar wiejski (5)";0;0;0;2;0;
1415092;"Olszewo-Borki (2)";0;0;0;1;0;
1415102;"Rzekuń (2)";0;0;5;0;0;
1415112;"Troszyn (2)";1;0;2;0;0;
1416000;"Powiat ostrowski";4;4;4;3;1;
1416011;"Ostrów Mazowiecka (1)";1;2;0;2;1;
1416032;"Boguty-Pianki (2)";0;0;1;0;0;
1416052;"Małkinia Górna (2)";2;0;0;0;0;
1416062;"Nur (2)";0;1;1;0;0;
1416102;"Wąsewo (2)";1;1;0;0;0;
1416112;"Zaręby Kościelne (2)";0;0;2;1;0;
1417000;"Powiat otwocki";3;4;2;1;1;
1417011;"Józefów (1)";0;2;0;0;1;
1417021;"Otwock (1)";0;0;2;1;0;
1417032;"Celestynów (2)";0;1;0;0;0;
1417043;"Karczew (3)";1;1;0;0;0;
1417044;"Karczew - miasto (4)";1;1;0;0;0;
1417052;"Kołbiel (2)";1;0;0;0;0;
1417082;"Wiązowna (2)";1;0;0;0;0;
1418000;"Powiat piaseczyński";6;4;7;1;3;
1418013;"Góra Kalwaria (3)";2;1;1;0;1;
1418014;"Góra Kalwaria - miasto (4)";2;1;1;0;1;
1418023;"Konstancin-Jeziorna (3)";0;1;1;0;1;
1418024;"Konstancin-Jeziorna - miasto (4)";0;1;1;0;1;
1418043;"Piaseczno (3)";2;2;5;1;1;
1418044;"Piaseczno - miasto (4)";1;2;5;1;1;
1418045;"Piaseczno - obszar wiejski (5)";1;0;0;0;0;
1418063;"Tarczyn (3)";2;0;0;0;0;
1418064;"Tarczyn - miasto (4)";2;0;0;0;0;
1419000;"Powiat płocki";8;4;0;0;0;
1419012;"Bielsk (2)";1;0;0;0;0;
1419022;"Bodzanów (2)";1;0;0;0;0;
1419042;"Bulkowo (2)";1;0;0;0;0;
1419053;"Drobin (3)";1;1;0;0;0;
1419054;"Drobin - miasto (4)";1;1;0;0;0;
1419063;"Gąbin (3)";1;0;0;0;0;
1419064;"Gąbin - miasto (4)";1;0;0;0;0;
1419072;"Łąck (2)";0;1;0;0;0;
1419082;"Mała Wieś (2)";0;1;0;0;0;
1419132;"Stara Biała (2)";1;0;0;0;0;
1419142;"Staroźreby (2)";1;0;0;0;0;
1419153;"Wyszogród (3)";1;1;0;0;0;
1419154;"Wyszogród - miasto (4)";1;1;0;0;0;
1420000;"Powiat płoński";2;3;1;0;1;
1420011;"Płońsk (1)";1;1;0;0;1;
1420032;"Baboszewo (2)";0;1;0;0;0;
1420072;"Naruszewo (2)";0;0;1;0;0;
1420102;"Raciąż (2)";1;0;0;0;0;
1420112;"Sochocin (2)";0;1;0;0;0;
1421000;"Powiat pruszkowski";4;4;0;6;1;
1421021;"Pruszków (1)";1;2;0;4;0;
1421033;"Brwinów (3)";1;0;0;0;0;
1421034;"Brwinów - miasto (4)";1;0;0;0;0;
1421042;"Michałowice (2)";1;0;0;1;0;
1421052;"Nadarzyn (2)";1;1;0;1;0;
1421062;"Raszyn (2)";0;1;0;0;1;
1422000;"Powiat przasnyski";4;0;1;2;1;
1422011;"Przasnysz (1)";1;0;0;0;0;
1422023;"Chorzele (3)";1;0;1;0;1;
1422024;"Chorzele - miasto (4)";1;0;1;0;1;
1422032;"Czernice Borowe (2)";0;0;0;1;0;
1422042;"Jednorożec (2)";2;0;0;0;0;
1422072;"Przasnysz (2)";0;0;0;1;0;
1423000;"Powiat przysuski";4;1;1;0;1;
1423022;"Gielniów (2)";1;0;0;0;0;
1423032;"Klwów (2)";1;1;0;0;0;
1423052;"Potworów (2)";1;0;0;0;0;
1423063;"Przysucha (3)";1;0;0;0;1;
1423064;"Przysucha - miasto (4)";1;0;0;0;1;
1423072;"Rusinów (2)";0;0;1;0;0;
1424000;"Powiat pułtuski";2;2;1;2;1;
1424043;"Pułtusk (3)";2;2;1;2;1;
1424044;"Pułtusk - miasto (4)";1;2;1;2;1;
1424045;"Pułtusk - obszar wiejski (5)";1;0;0;0;0;
1425000;"Powiat radomski";7;2;3;1;0;
1425011;"Pionki (1)";2;1;1;1;0;
1425042;"Jastrzębia (2)";0;0;1;0;0;
1425052;"Jedlińsk (2)";1;0;0;0;0;
1425062;"Jedlnia-Letnisko (2)";1;0;0;0;0;
1425072;"Kowala (2)";0;1;1;0;0;
1425103;"Skaryszew (3)";2;0;0;0;0;
1425104;"Skaryszew - miasto (4)";1;0;0;0;0;
1425105;"Skaryszew - obszar wiejski (5)";1;0;0;0;0;
1425112;"Wierzbica (2)";1;0;0;0;0;
1426000;"Powiat siedlecki";1;1;4;1;0;
1426022;"Korczew (2)";0;1;1;0;0;
1426082;"Siedlce (2)";0;0;3;1;0;
1426122;"Wodynie (2)";1;0;0;0;0;
1427000;"Powiat sierpecki";5;0;0;0;0;
1427011;"Sierpc (1)";2;0;0;0;0;
1427042;"Rościszewo (2)";1;0;0;0;0;
1427052;"Sierpc (2)";1;0;0;0;0;
1427072;"Zawidz (2)";1;0;0;0;0;
1428000;"Powiat sochaczewski";5;4;3;2;1;
1428011;"Sochaczew (1)";2;2;0;0;1;
1428032;"Iłów (2)";0;1;0;1;0;
1428042;"Młodzieszyn (2)";1;0;0;0;0;
1428052;"Nowa Sucha (2)";0;0;3;0;0;
1428062;"Rybno (2)";1;0;0;0;0;
1428082;"Teresin (2)";1;1;0;1;0;
1429000;"Powiat sokołowski";4;0;0;1;1;
1429011;"Sokołów Podlaski (1)";2;0;0;0;1;
1429053;"Kosów Lacki (3)";1;0;0;1;0;
1429054;"Kosów Lacki - miasto (4)";1;0;0;1;0;
1429092;"Sterdyń (2)";1;0;0;0;0;
1430000;"Powiat szydłowiecki";2;0;3;2;0;
1430012;"Chlewiska (2)";1;0;1;0;0;
1430053;"Szydłowiec (3)";1;0;2;2;0;
1430054;"Szydłowiec - miasto (4)";1;0;2;2;0;
1432000;"Powiat warszawski zachodni";9;5;4;5;2;
1432013;"Błonie (3)";1;2;0;2;0;
1432014;"Błonie - miasto (4)";1;1;0;2;0;
1432015;"Błonie - obszar wiejski (5)";0;1;0;0;0;
1432032;"Kampinos (2)";2;0;0;1;0;
1432042;"Leszno (2)";0;0;1;0;0;
1432053;"Łomianki (3)";2;1;1;0;1;
1432054;"Łomianki - miasto (4)";1;1;1;0;1;
1432055;"Łomianki - obszar wiejski (5)";1;0;0;0;0;
1432063;"Ożarów Mazowiecki (3)";4;1;0;2;1;
1432064;"Ożarów Mazowiecki - miasto (4)";3;0;0;2;1;
1432065;"Ożarów Mazowiecki - obszar wiejski (5)";1;1;0;0;0;
1432072;"Stare Babice (2)";0;1;2;0;0;
1433000;"Powiat węgrowski";5;0;0;0;0;
1433011;"Węgrów (1)";2;0;0;0;0;
1433053;"Łochów (3)";3;0;0;0;0;
1433054;"Łochów - miasto (4)";1;0;0;0;0;
1433055;"Łochów - obszar wiejski (5)";2;0;0;0;0;
1434000;"Powiat wołomiński";6;5;5;7;2;
1434021;"Marki (1)";1;3;3;0;0;
1434031;"Ząbki (1)";1;0;0;4;1;
1434041;"Zielonka (1)";1;1;0;1;0;
1434062;"Jadów (2)";0;0;1;0;0;
1434093;"Radzymin (3)";1;1;0;0;0;
1434094;"Radzymin - miasto (4)";1;1;0;0;0;
1434113;"Tłuszcz (3)";1;0;0;0;0;
1434114;"Tłuszcz - miasto (4)";1;0;0;0;0;
1434123;"Wołomin (3)";1;0;1;2;1;
1434124;"Wołomin - miasto (4)";1;0;1;2;1;
1435000;"Powiat wyszkowski";3;3;4;1;0;
1435022;"Długosiodło (2)";0;0;3;0;0;
1435032;"Rząśnik (2)";1;2;1;0;0;
1435053;"Wyszków (3)";2;1;0;1;0;
1435054;"Wyszków - miasto (4)";2;1;0;1;0;
1436000;"Powiat zwoleński";2;0;0;0;0;
1436022;"Policzna (2)";1;0;0;0;0;
1436053;"Zwoleń (3)";1;0;0;0;0;
1436054;"Zwoleń - miasto (4)";1;0;0;0;0;
1437000;"Powiat żuromiński";4;2;7;0;0;
1437013;"Bieżuń (3)";0;0;1;0;0;
1437014;"Bieżuń - miasto (4)";0;0;1;0;0;
1437022;"Kuczbork-Osada (2)";1;0;3;0;0;
1437052;"Siemiątkowo (2)";1;1;0;0;0;
1437063;"Żuromin (3)";2;1;3;0;0;
1437064;"Żuromin - miasto (4)";2;1;3;0;0;
1438000;"Powiat żyrardowski";5;7;8;6;1;
1438011;"Żyrardów (1)";2;4;5;6;1;
1438023;"Mszczonów (3)";0;1;2;0;0;
1438024;"Mszczonów - miasto (4)";0;1;2;0;0;
1438032;"Puszcza Mariańska (2)";2;1;0;0;0;
1438052;"Wiskitki (2)";1;1;1;0;0;
1461000;"Powiat m.Ostrołęka";1;2;0;7;0;
1461011;"Ostrołęka (1)";1;2;0;7;0;
1462000;"Powiat m.Płock";2;3;3;4;3;
1462011;"Płock (1)";2;3;3;4;3;
1463000;"Powiat m.Radom";2;2;2;2;2;
1463011;"Radom (1)";2;2;2;2;2;
1464000;"Powiat m.Siedlce";2;2;1;3;0;
1464011;"Siedlce (1)";2;2;1;3;0;
1465000;"Powiat m. st. Warszawa";18;41;60;94;47;
1465011;"M.st.Warszawa od 2002 (1)";18;41;60;94;47;
1465028;"Bemowo - dzielnica (8)";3;3;4;2;2;
1465038;"Białołęka - dzielnica (8)";1;2;2;10;1;
1465048;"Bielany - dzielnica (8)";2;4;14;16;3;
1465058;"Mokotów - dzielnica (8)";1;4;2;7;3;
1465068;"Ochota - dzielnica (8)";0;5;10;3;5;
1465078;"Praga-Południe - dzielnica (8)";1;2;0;1;2;
1465088;"Praga-Północ - dzielnica (8)";1;2;0;1;2;
1465098;"Rembertów - dzielnica (8)";1;3;1;2;1;
1465108;"Śródmieście - dzielnica (8)";3;3;12;16;8;
1465118;"Targówek - dzielnica (8)";1;1;4;0;1;
1465128;"Ursus - dzielnica (8)";3;0;0;4;2;
1465138;"Ursynów - dzielnica (8)";0;5;10;9;7;
1465148;"Wawer - dzielnica (8)";0;0;0;12;1;
1465158;"Wesoła - dzielnica (8)";0;0;0;6;1;
1465168;"Wilanów - dzielnica (8)";0;3;0;0;2;
1465178;"Włochy - dzielnica (8)";0;1;0;0;1;
1465188;"Wola - dzielnica (8)";0;2;0;0;4;
1465198;"Żoliborz - dzielnica (8)";1;1;1;5;1;
1600000;"OPOLSKIE";92;39;23;67;20;
1601000;"Powiat brzeski";4;4;5;3;0;
1601011;"Brzeg (1)";1;1;0;2;0;
1601022;"Skarbimierz (2)";1;0;3;0;0;
1601033;"Grodków (3)";1;1;1;1;0;
1601034;"Grodków - miasto (4)";1;1;1;1;0;
1601043;"Lewin Brzeski (3)";1;0;0;0;0;
1601044;"Lewin Brzeski - miasto (4)";1;0;0;0;0;
1601052;"Lubsza (2)";0;2;0;0;0;
1601062;"Olszanka (2)";0;0;1;0;0;
1602000;"Powiat głubczycki";9;1;0;3;1;
1602013;"Baborów (3)";3;0;0;0;0;
1602014;"Baborów - miasto (4)";3;0;0;0;0;
1602022;"Branice (2)";4;0;0;1;0;
1602033;"Głubczyce (3)";1;1;0;2;0;
1602034;"Głubczyce - miasto (4)";1;1;0;1;0;
1602035;"Głubczyce - obszar wiejski (5)";0;0;0;1;0;
1602043;"Kietrz (3)";1;0;0;0;1;
1602044;"Kietrz - miasto (4)";1;0;0;0;1;
1603000;"Powiat kędzierzyńsko-kozielski";9;1;3;4;2;
1603011;"Kędzierzyn-Koźle (1)";7;1;3;4;1;
1603022;"Bierawa (2)";2;0;0;0;0;
1603052;"Polska Cerekiew (2)";0;0;0;0;1;
1604000;"Powiat kluczborski";6;4;0;4;1;
1604013;"Byczyna (3)";1;0;0;1;0;
1604014;"Byczyna - miasto (4)";1;0;0;1;0;
1604023;"Kluczbork (3)";4;3;0;1;1;
1604024;"Kluczbork - miasto (4)";2;3;0;1;1;
1604025;"Kluczbork - obszar wiejski (5)";2;0;0;0;0;
1604032;"Lasowice Wielkie (2)";0;0;0;1;0;
1604043;"Wołczyn (3)";1;1;0;1;0;
1604044;"Wołczyn - miasto (4)";1;1;0;1;0;
1605000;"Powiat krapkowicki";8;3;3;8;3;
1605013;"Gogolin (3)";3;1;0;2;1;
1605014;"Gogolin - miasto (4)";1;1;0;0;1;
1605015;"Gogolin - obszar wiejski (5)";2;0;0;2;0;
1605023;"Krapkowice (3)";2;1;2;1;2;
1605024;"Krapkowice - miasto (4)";2;1;1;1;2;
1605025;"Krapkowice - obszar wiejski (5)";0;0;1;0;0;
1605032;"Strzeleczki (2)";2;0;1;1;0;
1605042;"Walce (2)";0;0;0;1;0;
1605053;"Zdzieszowice (3)";1;1;0;3;0;
1605054;"Zdzieszowice - miasto (4)";1;1;0;3;0;
1606000;"Powiat namysłowski";5;1;0;3;1;
1606012;"Domaszowice (2)";1;0;0;0;0;
1606023;"Namysłów (3)";2;1;0;2;1;
1606024;"Namysłów - miasto (4)";1;1;0;2;1;
1606025;"Namysłów - obszar wiejski (5)";1;0;0;0;0;
1606032;"Pokój (2)";1;0;0;0;0;
1606042;"Świerczów (2)";1;0;0;0;0;
1606052;"Wilków (2)";0;0;0;1;0;
1607000;"Powiat nyski";22;8;2;9;2;
1607013;"Głuchołazy (3)";1;1;0;0;0;
1607014;"Głuchołazy - miasto (4)";1;1;0;0;0;
1607022;"Kamiennik (2)";0;1;0;0;0;
1607042;"Łambinowice (2)";9;0;0;0;0;
1607053;"Nysa (3)";4;1;1;7;1;
1607054;"Nysa - miasto (4)";2;1;1;6;1;
1607055;"Nysa - obszar wiejski (5)";2;0;0;1;0;
1607063;"Otmuchów (3)";1;3;1;1;1;
1607064;"Otmuchów - miasto (4)";1;1;1;1;1;
1607065;"Otmuchów - obszar wiejski (5)";0;2;0;0;0;
1607073;"Paczków (3)";7;1;0;1;0;
1607074;"Paczków - miasto (4)";1;1;0;1;0;
1607075;"Paczków - obszar wiejski (5)";6;0;0;0;0;
1607092;"Skoroszyce (2)";0;1;0;0;0;
1608000;"Powiat oleski";4;2;1;3;3;
1608013;"Dobrodzień (3)";1;0;0;0;1;
1608014;"Dobrodzień - miasto (4)";1;0;0;0;1;
1608023;"Gorzów Śląski (3)";1;1;0;2;0;
1608024;"Gorzów Śląski - miasto (4)";0;1;0;1;0;
1608025;"Gorzów Śląski - obszar wiejski (5)";1;0;0;1;0;
1608033;"Olesno (3)";1;0;1;1;1;
1608034;"Olesno - miasto (4)";1;0;1;1;1;
1608043;"Praszka (3)";1;1;0;0;1;
1608044;"Praszka - miasto (4)";1;1;0;0;1;
1609000;"Powiat opolski";11;6;2;22;1;
1609012;"Chrząstowice (2)";0;1;0;6;1;
1609022;"Dąbrowa (2)";0;0;0;4;0;
1609032;"Dobrzeń Wielki (2)";1;0;0;0;0;
1609042;"Komprachcice (2)";2;2;0;1;0;
1609062;"Murów (2)";1;0;0;1;0;
1609073;"Niemodlin (3)";1;1;0;0;0;
1609074;"Niemodlin - miasto (4)";1;1;0;0;0;
1609083;"Ozimek (3)";0;0;1;0;0;
1609085;"Ozimek - obszar wiejski (5)";0;0;1;0;0;
1609103;"Prószków (3)";5;0;0;2;0;
1609104;"Prószków - miasto (4)";2;0;0;2;0;
1609105;"Prószków - obszar wiejski (5)";3;0;0;0;0;
1609112;"Tarnów Opolski (2)";1;1;0;0;0;
1609132;"Turawa (2)";0;1;1;8;0;
1610000;"Powiat prudnicki";3;3;1;5;2;
1610023;"Głogówek (3)";1;1;0;1;0;
1610024;"Głogówek - miasto (4)";1;1;0;1;0;
1610032;"Lubrza (2)";0;0;0;2;0;
1610043;"Prudnik (3)";2;2;1;2;2;
1610044;"Prudnik - miasto (4)";2;2;0;2;2;
1610045;"Prudnik - obszar wiejski (5)";0;0;1;0;0;
1611000;"Powiat strzelecki";6;2;1;2;2;
1611033;"Kolonowskie (3)";1;0;0;0;0;
1611034;"Kolonowskie - miasto (4)";1;0;0;0;0;
1611043;"Leśnica (3)";1;0;0;0;0;
1611044;"Leśnica - miasto (4)";1;0;0;0;0;
1611053;"Strzelce Opolskie (3)";0;0;1;2;2;
1611054;"Strzelce Opolskie - miasto (4)";0;0;1;1;2;
1611055;"Strzelce Opolskie - obszar wiejski (5)";0;0;0;1;0;
1611063;"Ujazd (3)";2;1;0;0;0;
1611064;"Ujazd - miasto (4)";1;0;0;0;0;
1611065;"Ujazd - obszar wiejski (5)";1;1;0;0;0;
1611073;"Zawadzkie (3)";2;1;0;0;0;
1611074;"Zawadzkie - miasto (4)";2;1;0;0;0;
1661000;"Powiat m.Opole";5;4;5;1;2;
1661011;"Opole (1)";5;4;5;1;2;
1800000;"PODKARPACKIE";307;43;82;146;39;
1801000;"Powiat bieszczadzki";2;1;0;6;2;
1801032;"Czarna (2)";1;0;0;0;0;
1801083;"Ustrzyki Dolne (3)";1;1;0;6;2;
1801084;"Ustrzyki Dolne - miasto (4)";1;0;0;2;1;
1801085;"Ustrzyki Dolne - obszar wiejski (5)";0;1;0;4;1;
1802000;"Powiat brzozowski";18;0;0;2;1;
1802013;"Brzozów (3)";8;0;0;2;1;
1802014;"Brzozów - miasto (4)";1;0;0;2;1;
1802015;"Brzozów - obszar wiejski (5)";7;0;0;0;0;
1802022;"Domaradz (2)";2;0;0;0;0;
1802042;"Haczów (2)";5;0;0;0;0;
1802052;"Jasienica Rosielna (2)";2;0;0;0;0;
1802062;"Nozdrzec (2)";1;0;0;0;0;
1803000;"Powiat dębicki";19;3;4;5;4;
1803011;"Dębica (1)";1;1;4;2;2;
1803023;"Brzostek (3)";1;1;0;1;0;
1803024;"Brzostek - miasto (4)";1;1;0;1;0;
1803032;"Czarna (2)";0;0;0;2;1;
1803042;"Dębica (2)";6;0;0;0;1;
1803063;"Pilzno (3)";4;1;0;0;0;
1803064;"Pilzno - miasto (4)";3;1;0;0;0;
1803065;"Pilzno - obszar wiejski (5)";1;0;0;0;0;
1803072;"Żyraków (2)";7;0;0;0;0;
1804000;"Powiat jarosławski";18;5;21;1;1;
1804011;"Jarosław (1)";0;3;14;0;1;
1804021;"Radymno (1)";1;0;2;1;0;
1804032;"Chłopice (2)";2;0;0;0;0;
1804042;"Jarosław (2)";10;0;0;0;0;
1804052;"Laszki (2)";1;0;0;0;0;
1804062;"Pawłosiów (2)";1;0;1;0;0;
1804073;"Pruchnik (3)";2;0;0;0;0;
1804074;"Pruchnik - miasto (4)";2;0;0;0;0;
1804082;"Radymno (2)";0;2;4;0;0;
1804102;"Roźwienica (2)";1;0;0;0;0;
1805000;"Powiat jasielski";10;1;3;9;1;
1805011;"Jasło (1)";2;1;2;5;1;
1805022;"Brzyska (2)";2;0;1;0;0;
1805042;"Jasło (2)";1;0;0;1;0;
1805072;"Nowy Żmigród (2)";2;0;0;0;0;
1805082;"Osiek Jasielski (2)";2;0;0;2;0;
1805092;"Skołyszyn (2)";1;0;0;1;0;
1806000;"Powiat kolbuszowski";15;1;0;1;2;
1806012;"Cmolas (2)";1;1;0;0;1;
