"Kod";"Nazwa";"ogółem;2020;[ob.]";
1607054;"Nysa - miasto (4)";8;
1607055;"Nysa - obszar wiejski (5)";7;
1607063;"Otmuchów (3)";8;
1607064;"Otmuchów - miasto (4)";2;
1607065;"Otmuchów - obszar wiejski (5)";6;
1607073;"Paczków (3)";5;
1607074;"Paczków - miasto (4)";2;
1607075;"Paczków - obszar wiejski (5)";3;
1607082;"Pakosławice (2)";3;
1607092;"Skoroszyce (2)";3;
1608000;"Powiat oleski";37;
1608013;"Dobrodzień (3)";7;
1608014;"Dobrodzień - miasto (4)";2;
1608015;"Dobrodzień - obszar wiejski (5)";5;
1608023;"Gorzów Śląski (3)";4;
1608024;"Gorzów Śląski - miasto (4)";1;
1608025;"Gorzów Śląski - obszar wiejski (5)";3;
1608033;"Olesno (3)";8;
1608034;"Olesno - miasto (4)";3;
1608035;"Olesno - obszar wiejski (5)";5;
1608043;"Praszka (3)";8;
1608044;"Praszka - miasto (4)";4;
1608045;"Praszka - obszar wiejski (5)";4;
1608052;"Radłów (2)";3;
1608062;"Rudniki (2)";6;
1608072;"Zębowice (2)";1;
1609000;"Powiat opolski";57;
1609012;"Chrząstowice (2)";4;
1609022;"Dąbrowa (2)";3;
1609032;"Dobrzeń Wielki (2)";5;
1609042;"Komprachcice (2)";5;
1609052;"Łubniany (2)";4;
1609062;"Murów (2)";3;
1609073;"Niemodlin (3)";5;
1609074;"Niemodlin - miasto (4)";2;
1609075;"Niemodlin - obszar wiejski (5)";3;
1609083;"Ozimek (3)";8;
1609084;"Ozimek - miasto (4)";3;
1609085;"Ozimek - obszar wiejski (5)";5;
1609092;"Popielów (2)";3;
1609103;"Prószków (3)";5;
1609104;"Prószków - miasto (4)";1;
1609105;"Prószków - obszar wiejski (5)";4;
1609112;"Tarnów Opolski (2)";4;
1609123;"Tułowice (3)";1;
1609124;"Tułowice - miasto (4)";1;
1609132;"Turawa (2)";7;
1610000;"Powiat prudnicki";23;
1610013;"Biała (3)";6;
1610014;"Biała - miasto (4)";1;
1610015;"Biała - obszar wiejski (5)";5;
1610023;"Głogówek (3)";7;
1610024;"Głogówek - miasto (4)";3;
1610025;"Głogówek - obszar wiejski (5)";4;
1610032;"Lubrza (2)";2;
1610043;"Prudnik (3)";8;
1610044;"Prudnik - miasto (4)";4;
1610045;"Prudnik - obszar wiejski (5)";4;
1611000;"Powiat strzelecki";35;
1611012;"Izbicko (2)";3;
1611022;"Jemielnica (2)";2;
1611033;"Kolonowskie (3)";3;
1611034;"Kolonowskie - miasto (4)";2;
1611035;"Kolonowskie - obszar wiejski (5)";1;
1611043;"Leśnica (3)";5;
1611044;"Leśnica - miasto (4)";3;
1611045;"Leśnica - obszar wiejski (5)";2;
1611053;"Strzelce Opolskie (3)";13;
1611054;"Strzelce Opolskie - miasto (4)";4;
1611055;"Strzelce Opolskie - obszar wiejski (5)";9;
1611063;"Ujazd (3)";5;
1611064;"Ujazd - miasto (4)";1;
1611065;"Ujazd - obszar wiejski (5)";4;
1611073;"Zawadzkie (3)";4;
1611074;"Zawadzkie - miasto (4)";2;
1611075;"Zawadzkie - obszar wiejski (5)";2;
1661000;"Powiat m.Opole";31;
1661011;"Opole (1)";31;
1800000;"PODKARPACKIE";1084;
1801000;"Powiat bieszczadzki";11;
1801032;"Czarna (2)";2;
1801052;"Lutowiska (2)";1;
1801083;"Ustrzyki Dolne (3)";8;
1801084;"Ustrzyki Dolne - miasto (4)";4;
1801085;"Ustrzyki Dolne - obszar wiejski (5)";4;
1802000;"Powiat brzozowski";41;
1802013;"Brzozów (3)";11;
1802014;"Brzozów - miasto (4)";2;
1802015;"Brzozów - obszar wiejski (5)";9;
1802022;"Domaradz (2)";5;
1802032;"Dydnia (2)";8;
1802042;"Haczów (2)";6;
1802052;"Jasienica Rosielna (2)";4;
1802062;"Nozdrzec (2)";7;
1803000;"Powiat dębicki";73;
1803011;"Dębica (1)";14;
1803023;"Brzostek (3)";10;
1803024;"Brzostek - miasto (4)";1;
1803025;"Brzostek - obszar wiejski (5)";9;
1803032;"Czarna (2)";10;
1803042;"Dębica (2)";13;
1803052;"Jodłowa (2)";5;
1803063;"Pilzno (3)";11;
1803064;"Pilzno - miasto (4)";1;
1803065;"Pilzno - obszar wiejski (5)";10;
1803072;"Żyraków (2)";10;
1804000;"Powiat jarosławski";71;
1804011;"Jarosław (1)";12;
1804021;"Radymno (1)";1;
1804032;"Chłopice (2)";6;
1804042;"Jarosław (2)";7;
1804052;"Laszki (2)";5;
1804062;"Pawłosiów (2)";6;
1804073;"Pruchnik (3)";6;
1804074;"Pruchnik - miasto (4)";2;
1804075;"Pruchnik - obszar wiejski (5)";4;
1804082;"Radymno (2)";9;
1804092;"Rokietnica (2)";5;
1804102;"Roźwienica (2)";6;
1804112;"Wiązownica (2)";8;
1805000;"Powiat jasielski";73;
1805011;"Jasło (1)";11;
1805022;"Brzyska (2)";4;
1805032;"Dębowiec (2)";9;
1805042;"Jasło (2)";8;
1805053;"Kołaczyce (3)";6;
1805054;"Kołaczyce - miasto (4)";1;
1805055;"Kołaczyce - obszar wiejski (5)";5;
1805062;"Krempna (2)";1;
1805072;"Nowy Żmigród (2)";9;
1805082;"Osiek Jasielski (2)";7;
1805092;"Skołyszyn (2)";8;
1805112;"Tarnowiec (2)";10;
1806000;"Powiat kolbuszowski";42;
1806012;"Cmolas (2)";7;
1806023;"Kolbuszowa (3)";11;
1806024;"Kolbuszowa - miasto (4)";2;
1806025;"Kolbuszowa - obszar wiejski (5)";9;
1806032;"Majdan Królewski (2)";7;
1806042;"Niwiska (2)";7;
1806052;"Raniżów (2)";4;
1806062;"Dzikowiec (2)";6;
1807000;"Powiat krośnieński";67;
1807012;"Chorkówka (2)";12;
1807023;"Dukla (3)";8;
1807024;"Dukla - miasto (4)";1;
1807025;"Dukla - obszar wiejski (5)";7;
1807033;"Iwonicz-Zdrój (3)";4;
1807034;"Iwonicz-Zdrój - miasto (4)";1;
1807035;"Iwonicz-Zdrój - obszar wiejski (5)";3;
1807043;"Jedlicze (3)";9;
1807044;"Jedlicze - miasto (4)";1;
1807045;"Jedlicze - obszar wiejski (5)";8;
1807052;"Korczyna (2)";5;
1807062;"Krościenko Wyżne (2)";1;
1807072;"Miejsce Piastowe (2)";8;
1807083;"Rymanów (3)";13;
1807084;"Rymanów - miasto (4)";2;
1807085;"Rymanów - obszar wiejski (5)";11;
1807092;"Wojaszówka (2)";6;
1807102;"Jaśliska (2)";1;
1808000;"Powiat leżajski";32;
1808011;"Leżajsk (1)";4;
1808022;"Grodzisko Dolne (2)";6;
1808032;"Kuryłówka (2)";3;
1808042;"Leżajsk (2)";11;
1808053;"Nowa Sarzyna (3)";8;
1808054;"Nowa Sarzyna - miasto (4)";1;
1808055;"Nowa Sarzyna - obszar wiejski (5)";7;
1809000;"Powiat lubaczowski";27;
1809011;"Lubaczów (1)";4;
1809023;"Cieszanów (3)";5;
1809025;"Cieszanów - obszar wiejski (5)";5;
1809032;"Horyniec-Zdrój (2)";1;
1809042;"Lubaczów (2)";5;
1809053;"Narol (3)";3;
1809054;"Narol - miasto (4)";1;
1809055;"Narol - obszar wiejski (5)";2;
1809063;"Oleszyce (3)";4;
1809064;"Oleszyce - miasto (4)";1;
1809065;"Oleszyce - obszar wiejski (5)";3;
1809072;"Stary Dzików (2)";3;
1809082;"Wielkie Oczy (2)";2;
1810000;"Powiat łańcucki";39;
1810011;"Łańcut (1)";5;
1810022;"Białobrzegi (2)";6;
1810032;"Czarna (2)";7;
1810042;"Łańcut (2)";9;
1810052;"Markowa (2)";3;
1810062;"Rakszawa (2)";5;
1810072;"Żołynia (2)";4;
1811000;"Powiat mielecki";61;
1811011;"Mielec (1)";14;
1811022;"Borowa (2)";3;
1811032;"Czermin (2)";4;
1811042;"Gawłuszowice (2)";1;
1811052;"Mielec (2)";9;
1811062;"Padew Narodowa (2)";1;
1811073;"Przecław (3)";6;
1811074;"Przecław - miasto (4)";1;
1811075;"Przecław - obszar wiejski (5)";5;
1811083;"Radomyśl Wielki (3)";11;
1811084;"Radomyśl Wielki - miasto (4)";1;
1811085;"Radomyśl Wielki - obszar wiejski (5)";10;
1811092;"Tuszów Narodowy (2)";5;
1811102;"Wadowice Górne (2)";7;
1812000;"Powiat niżański";37;
1812012;"Harasiuki (2)";5;
1812022;"Jarocin (2)";5;
1812032;"Jeżowe (2)";7;
1812042;"Krzeszów (2)";2;
1812053;"Nisko (3)";7;
1812054;"Nisko - miasto (4)";5;
1812055;"Nisko - obszar wiejski (5)";2;
1812063;"Rudnik nad Sanem (3)";6;
1812064;"Rudnik nad Sanem - miasto (4)";4;
1812065;"Rudnik nad Sanem - obszar wiejski (5)";2;
1812073;"Ulanów (3)";5;
1812074;"Ulanów - miasto (4)";1;
1812075;"Ulanów - obszar wiejski (5)";4;
1813000;"Powiat przemyski";56;
1813012;"Bircza (2)";6;
1813022;"Dubiecko (2)";7;
1813032;"Fredropol (2)";4;
1813042;"Krasiczyn (2)";2;
1813052;"Krzywcza (2)";5;
1813062;"Medyka (2)";5;
1813072;"Orły (2)";8;
1813082;"Przemyśl (2)";8;
1813092;"Stubno (2)";2;
1813102;"Żurawica (2)";9;
1814000;"Powiat przeworski";44;
1814011;"Przeworsk (1)";3;
1814022;"Adamówka (2)";3;
1814032;"Gać (2)";4;
1814042;"Jawornik Polski (2)";3;
1814053;"Kańczuga (3)";7;
1814054;"Kańczuga - miasto (4)";1;
1814055;"Kańczuga - obszar wiejski (5)";6;
1814062;"Przeworsk (2)";9;
1814073;"Sieniawa (3)";4;
1814074;"Sieniawa - miasto (4)";1;
1814075;"Sieniawa - obszar wiejski (5)";3;
1814082;"Tryńcza (2)";5;
1814092;"Zarzecze (2)";6;
1815000;"Powiat ropczycko-sędziszowski";45;
1815012;"Iwierzyce (2)";5;
1815022;"Ostrów (2)";6;
1815033;"Ropczyce (3)";14;
1815034;"Ropczyce - miasto (4)";6;
1815035;"Ropczyce - obszar wiejski (5)";8;
1815043;"Sędziszów Małopolski (3)";14;
1815044;"Sędziszów Małopolski - miasto (4)";5;
1815045;"Sędziszów Małopolski - obszar wiejski (5)";9;
1815052;"Wielopole Skrzyńskie (2)";6;
1816000;"Powiat rzeszowski";94;
1816011;"Dynów (1)";2;
1816023;"Błażowa (3)";8;
1816024;"Błażowa - miasto (4)";1;
1816025;"Błażowa - obszar wiejski (5)";7;
1816033;"Boguchwała (3)";11;
1816034;"Boguchwała - miasto (4)";2;
1816035;"Boguchwała - obszar wiejski (5)";9;
1816042;"Chmielnik (2)";5;
1816052;"Dynów (2)";9;
1816063;"Głogów Małopolski (3)";6;
1816064;"Głogów Małopolski - miasto (4)";2;
1816065;"Głogów Małopolski - obszar wiejski (5)";4;
1816072;"Hyżne (2)";6;
1816082;"Kamień (2)";5;
1816092;"Krasne (2)";4;
1816102;"Lubenia (2)";4;
1816113;"Sokołów Małopolski (3)";11;
1816114;"Sokołów Małopolski - miasto (4)";1;
1816115;"Sokołów Małopolski - obszar wiejski (5)";10;
1816122;"Świlcza (2)";10;
1816132;"Trzebownisko (2)";9;
1816143;"Tyczyn (3)";4;
1816144;"Tyczyn - miasto (4)";1;
1816145;"Tyczyn - obszar wiejski (5)";3;
1817000;"Powiat sanocki";50;
1817011;"Sanok (1)";9;
1817022;"Besko (2)";2;
1817032;"Bukowsko (2)";3;
1817042;"Komańcza (2)";4;
1817052;"Sanok (2)";16;
1817062;"Tyrawa Wołoska (2)";1;
1817073;"Zagórz (3)";8;
1817074;"Zagórz - miasto (4)";2;
1817075;"Zagórz - obszar wiejski (5)";6;
1817082;"Zarszyn (2)";7;
1818000;"Powiat stalowowolski";35;
1818011;"Stalowa Wola (1)";12;
1818022;"Bojanów (2)";4;
1818032;"Pysznica (2)";4;
1818042;"Radomyśl nad Sanem (2)";5;
1818053;"Zaklików (3)";3;
1818054;"Zaklików - miasto (4)";1;
1818055;"Zaklików - obszar wiejski (5)";2;
1818062;"Zaleszany (2)";7;
1819000;"Powiat strzyżowski";44;
1819012;"Czudec (2)";7;
1819022;"Frysztak (2)";7;
1819032;"Niebylec (2)";10;
1819043;"Strzyżów (3)";13;
1819044;"Strzyżów - miasto (4)";3;
1819045;"Strzyżów - obszar wiejski (5)";10;
1819052;"Wiśniowa (2)";7;
1820000;"Powiat tarnobrzeski";27;
1820013;"Baranów Sandomierski (3)";6;
1820014;"Baranów Sandomierski - miasto (4)";1;
1820015;"Baranów Sandomierski - obszar wiejski (5)";5;
1820022;"Gorzyce (2)";6;
1820032;"Grębów (2)";8;
1820043;"Nowa Dęba (3)";7;
1820044;"Nowa Dęba - miasto (4)";2;
1820045;"Nowa Dęba - obszar wiejski (5)";5;
1821000;"Powiat leski";18;
1821012;"Baligród (2)";3;
1821022;"Cisna (2)";1;
1821033;"Lesko (3)";6;
1821034;"Lesko - miasto (4)";2;
1821035;"Lesko - obszar wiejski (5)";4;
1821042;"Olszanica (2)";2;
1821052;"Solina (2)";6;
1861000;"Powiat m.Krosno";14;
1861011;"Krosno (1)";14;
1862000;"Powiat m.Przemyśl";20;
1862011;"Przemyśl (1)";20;
1863000;"Powiat m.Rzeszów";52;
1863011;"Rzeszów (1)";52;
1864000;"Powiat m.Tarnobrzeg";11;
1864011;"Tarnobrzeg (1)";11;
2000000;"PODLASKIE";424;
2001000;"Powiat augustowski";31;
2001011;"Augustów (1)";11;
2001022;"Augustów (2)";7;
2001032;"Bargłów Kościelny (2)";4;
2001043;"Lipsk (3)";2;
2001044;"Lipsk - miasto (4)";1;
2001045;"Lipsk - obszar wiejski (5)";1;
2001052;"Nowinka (2)";3;
2001062;"Płaska (2)";1;
2001072;"Sztabin (2)";3;
2002000;"Powiat białostocki";47;
2002013;"Choroszcz (3)";2;
2002014;"Choroszcz - miasto (4)";1;
2002015;"Choroszcz - obszar wiejski (5)";1;
2002023;"Czarna Białostocka (3)";3;
2002024;"Czarna Białostocka - miasto (4)";2;
2002025;"Czarna Białostocka - obszar wiejski (5)";1;
2002032;"Dobrzyniewo Duże (2)";5;
2002042;"Gródek (2)";2;
2002052;"Juchnowiec Kościelny (2)";3;
2002063;"Łapy (3)";7;
2002064;"Łapy - miasto (4)";4;
2002065;"Łapy - obszar wiejski (5)";3;
2002073;"Michałowo (3)";1;
2002074;"Michałowo - miasto (4)";1;
2002082;"Poświętne (2)";1;
2002093;"Supraśl (3)";3;
2002094;"Supraśl - miasto (4)";1;
2002095;"Supraśl - obszar wiejski (5)";2;
2002103;"Suraż (3)";1;
2002104;"Suraż - miasto (4)";1;
2002112;"Turośń Kościelna (2)";4;
2002123;"Tykocin (3)";2;
2002124;"Tykocin - miasto (4)";1;
2002125;"Tykocin - obszar wiejski (5)";1;
2002133;"Wasilków (3)";7;
2002134;"Wasilków - miasto (4)";4;
2002135;"Wasilków - obszar wiejski (5)";3;
2002143;"Zabłudów (3)";4;
2002144;"Zabłudów - miasto (4)";1;
2002145;"Zabłudów - obszar wiejski (5)";3;
2002152;"Zawady (2)";2;
2003000;"Powiat bielski";20;
2003011;"Bielsk Podlaski (1)";6;
2003021;"Brańsk (1)";1;
2003032;"Bielsk Podlaski (2)";2;
2003042;"Boćki (2)";2;
2003052;"Brańsk (2)";4;
2003062;"Orla (2)";1;
2003072;"Rudka (2)";1;
2003082;"Wyszki (2)";3;
2004000;"Powiat grajewski";20;
2004011;"Grajewo (1)";4;
2004022;"Grajewo (2)";3;
2004032;"Radziłów (2)";4;
2004043;"Rajgród (3)";3;
2004044;"Rajgród - miasto (4)";1;
2004045;"Rajgród - obszar wiejski (5)";2;
2004053;"Szczuczyn (3)";2;
2004054;"Szczuczyn - miasto (4)";1;
2004055;"Szczuczyn - obszar wiejski (5)";1;
2004062;"Wąsosz (2)";4;
2005000;"Powiat hajnowski";15;
2005011;"Hajnówka (1)";6;
2005022;"Białowieża (2)";1;
2005032;"Czeremcha (2)";1;
2005042;"Czyże (2)";1;
2005052;"Dubicze Cerkiewne (2)";1;
2005062;"Hajnówka (2)";2;
2005073;"Kleszczele (3)";1;
2005074;"Kleszczele - miasto (4)";1;
2005082;"Narew (2)";1;
2005092;"Narewka (2)";1;
2006000;"Powiat kolneński";24;
2006011;"Kolno (1)";2;
2006022;"Grabowo (2)";3;
2006032;"Kolno (2)";7;
2006042;"Mały Płock (2)";4;
2006053;"Stawiski (3)";3;
2006054;"Stawiski - miasto (4)";1;
2006055;"Stawiski - obszar wiejski (5)";2;
2006062;"Turośl (2)";5;
2007000;"Powiat łomżyński";30;
2007013;"Jedwabne (3)";2;
2007014;"Jedwabne - miasto (4)";1;
2007015;"Jedwabne - obszar wiejski (5)";1;
2007022;"Łomża (2)";8;
2007032;"Miastkowo (2)";2;
2007043;"Nowogród (3)";1;
2007044;"Nowogród - miasto (4)";1;
2007052;"Piątnica (2)";7;
2007062;"Przytuły (2)";2;
2007072;"Śniadowo (2)";2;
2007082;"Wizna (2)";3;
2007092;"Zbójna (2)";3;
2008000;"Powiat moniecki";16;
2008013;"Goniądz (3)";3;
2008014;"Goniądz - miasto (4)";2;
2008015;"Goniądz - obszar wiejski (5)";1;
2008022;"Jasionówka (2)";1;
2008032;"Jaświły (2)";2;
2008043;"Knyszyn (3)";2;
2008044;"Knyszyn - miasto (4)";1;
2008045;"Knyszyn - obszar wiejski (5)";1;
2008052;"Krypno (2)";2;
2008063;"Mońki (3)";3;
2008064;"Mońki - miasto (4)";2;
2008065;"Mońki - obszar wiejski (5)";1;
2008072;"Trzcianne (2)";3;
2009000;"Powiat sejneński";8;
2009011;"Sejny (1)";2;
2009022;"Giby (2)";1;
2009032;"Krasnopol (2)";1;
2009042;"Puńsk (2)";2;
2009052;"Sejny (2)";2;
2010000;"Powiat siemiatycki";18;
2010011;"Siemiatycze (1)";3;
2010023;"Drohiczyn (3)";5;
2010024;"Drohiczyn - miasto (4)";2;
2010025;"Drohiczyn - obszar wiejski (5)";3;
2010032;"Dziadkowice (2)";1;
2010042;"Grodzisk (2)";1;
2010052;"Mielnik (2)";1;
2010062;"Milejczyce (2)";1;
2010072;"Nurzec-Stacja (2)";1;
2010082;"Perlejewo (2)";1;
2010092;"Siemiatycze (2)";4;
2011000;"Powiat sokólski";33;
2011013;"Dąbrowa Białostocka (3)";9;
2011014;"Dąbrowa Białostocka - miasto (4)";1;
2011015;"Dąbrowa Białostocka - obszar wiejski (5)";8;
2011022;"Janów (2)";2;
2011032;"Korycin (2)";1;
2011043;"Krynki (3)";1;
2011044;"Krynki - miasto (4)";1;
2011052;"Kuźnica (2)";1;
2011062;"Nowy Dwór (2)";1;
2011072;"Sidra (2)";3;
2011083;"Sokółka (3)";10;
2011084;"Sokółka - miasto (4)";4;
2011085;"Sokółka - obszar wiejski (5)";6;
2011093;"Suchowola (3)";3;
2011094;"Suchowola - miasto (4)";1;
2011095;"Suchowola - obszar wiejski (5)";2;
2011102;"Szudziałowo (2)";2;
2012000;"Powiat suwalski";18;
2012012;"Bakałarzewo (2)";1;
2012022;"Filipów (2)";1;
2012032;"Jeleniewo (2)";2;
2012042;"Przerośl (2)";2;
2012052;"Raczki (2)";2;
2012062;"Rutka-Tartak (2)";1;
2012072;"Suwałki (2)";5;
2012082;"Szypliszki (2)";3;
2012092;"Wiżajny (2)";1;
2013000;"Powiat wysokomazowiecki";25;
2013011;"Wysokie Mazowieckie (1)";2;
2013023;"Ciechanowiec (3)";2;
2013024;"Ciechanowiec - miasto (4)";1;
2013025;"Ciechanowiec - obszar wiejski (5)";1;
2013033;"Czyżew (3)";3;
2013034;"Czyżew - miasto (4)";1;
2013035;"Czyżew - obszar wiejski (5)";2;
2013042;"Klukowo (2)";4;
2013052;"Kobylin-Borzymy (2)";3;
2013062;"Kulesze Kościelne (2)";1;
2013072;"Nowe Piekuty (2)";2;
2013082;"Sokoły (2)";3;
2013093;"Szepietowo (3)";3;
2013094;"Szepietowo - miasto (4)";1;
2013095;"Szepietowo - obszar wiejski (5)";2;
2013102;"Wysokie Mazowieckie (2)";2;
2014000;"Powiat zambrowski";18;
2014011;"Zambrów (1)";3;
2014022;"Kołaki Kościelne (2)";2;
2014032;"Rutki (2)";3;
2014042;"Szumowo (2)";3;
2014052;"Zambrów (2)";7;
2061000;"Powiat m.Białystok";78;
2061011;"Białystok (1)";78;
2062000;"Powiat m.Łomża";10;
2062011;"Łomża (1)";10;
2063000;"Powiat m.Suwałki";13;
2063011;"Suwałki (1)";13;
2200000;"POMORSKIE";767;
2201000;"Powiat bytowski";40;
2201012;"Borzytuchom (2)";3;
2201023;"Bytów (3)";7;
2201024;"Bytów - miasto (4)";4;
2201025;"Bytów - obszar wiejski (5)";3;
2201032;"Czarna Dąbrówka (2)";4;
2201042;"Kołczygłowy (2)";2;
2201052;"Lipnica (2)";3;
2201063;"Miastko (3)";11;
2201064;"Miastko - miasto (4)";3;
2201065;"Miastko - obszar wiejski (5)";8;
2201072;"Parchowo (2)";2;
2201082;"Studzienice (2)";3;
2201092;"Trzebielino (2)";3;
2201102;"Tuchomie (2)";2;
2202000;"Powiat chojnicki";38;
2202011;"Chojnice (1)";8;
2202023;"Brusy (3)";11;
2202024;"Brusy - miasto (4)";2;
2202025;"Brusy - obszar wiejski (5)";9;
2202032;"Chojnice (2)";10;
2202043;"Czersk (3)";8;
2202044;"Czersk - miasto (4)";4;
2202045;"Czersk - obszar wiejski (5)";4;
2202052;"Konarzyny (2)";1;
2203000;"Powiat człuchowski";23;
2203011;"Człuchów (1)";5;
2203023;"Czarne (3)";3;
2203024;"Czarne - miasto (4)";1;
2203025;"Czarne - obszar wiejski (5)";2;
2203032;"Człuchów (2)";5;
2203043;"Debrzno (3)";5;
2203044;"Debrzno - miasto (4)";2;
2203045;"Debrzno - obszar wiejski (5)";3;
2203052;"Koczała (2)";1;
2203062;"Przechlewo (2)";2;
2203072;"Rzeczenica (2)";2;
2204000;"Powiat gdański";44;
2204011;"Pruszcz Gdański (1)";8;
2204022;"Cedry Wielkie (2)";3;
2204032;"Kolbudy (2)";9;
2204042;"Pruszcz Gdański (2)";8;
2204052;"Przywidz (2)";4;
2204062;"Pszczółki (2)";3;
2204072;"Suchy Dąb (2)";3;
2204082;"Trąbki Wielkie (2)";6;
2205000;"Powiat kartuski";68;
2205012;"Chmielno (2)";5;
2205023;"Kartuzy (3)";16;
2205024;"Kartuzy - miasto (4)";5;
2205025;"Kartuzy - obszar wiejski (5)";11;
2205032;"Przodkowo (2)";5;
2205042;"Sierakowice (2)";12;
2205052;"Somonino (2)";4;
2205062;"Stężyca (2)";5;
2205072;"Sulęczyno (2)";5;
2205083;"Żukowo (3)";16;
2205084;"Żukowo - miasto (4)";4;
2205085;"Żukowo - obszar wiejski (5)";12;
2206000;"Powiat kościerski";36;
2206011;"Kościerzyna (1)";9;
2206022;"Dziemiany (2)";2;
2206032;"Karsin (2)";3;
2206042;"Kościerzyna (2)";9;
2206052;"Liniewo (2)";4;
2206062;"Lipusz (2)";2;
2206072;"Nowa Karczma (2)";4;
2206082;"Stara Kiszewa (2)";3;
2207000;"Powiat kwidzyński";29;
2207011;"Kwidzyn (1)";8;
2207022;"Gardeja (2)";6;
2207032;"Kwidzyn (2)";6;
2207043;"Prabuty (3)";4;
2207044;"Prabuty - miasto (4)";1;
2207045;"Prabuty - obszar wiejski (5)";3;
2207052;"Ryjewo (2)";3;
2207062;"Sadlinki (2)";2;
2208000;"Powiat lęborski";26;
2208011;"Lębork (1)";9;
2208021;"Łeba (1)";1;
2208032;"Cewice (2)";7;
2208042;"Nowa Wieś Lęborska (2)";6;
2208052;"Wicko (2)";3;
2209000;"Powiat malborski";19;
2209011;"Malbork (1)";11;
2209032;"Lichnowy (2)";3;
2209042;"Malbork (2)";1;
2209062;"Miłoradz (2)";2;
2209073;"Nowy Staw (3)";1;
2209074;"Nowy Staw - miasto (4)";1;
2209082;"Stare Pole (2)";1;
2210000;"Powiat nowodworski";15;
2210011;"Krynica Morska (1)";1;
2210023;"Nowy Dwór Gdański (3)";7;
2210024;"Nowy Dwór Gdański - miasto (4)";3;
2210025;"Nowy Dwór Gdański - obszar wiejski (5)";4;
2210032;"Ostaszewo (2)";1;
2210042;"Stegna (2)";5;
2210052;"Sztutowo (2)";1;
2211000;"Powiat pucki";34;
2211011;"Hel (1)";1;
2211023;"Jastarnia (3)";1;
2211024;"Jastarnia - miasto (4)";1;
2211031;"Puck (1)";4;
2211043;"Władysławowo (3)";5;
2211044;"Władysławowo - miasto (4)";2;
2211045;"Władysławowo - obszar wiejski (5)";3;
2211052;"Kosakowo (2)";4;
2211062;"Krokowa (2)";5;
2211072;"Puck (2)";14;
2212000;"Powiat słupski";42;
2212011;"Ustka (1)";5;
2212022;"Damnica (2)";4;
2212032;"Dębnica Kaszubska (2)";4;
2212042;"Główczyce (2)";4;
2212053;"Kępice (3)";6;
2212054;"Kępice - miasto (4)";1;
2212055;"Kępice - obszar wiejski (5)";5;
2212062;"Kobylnica (2)";5;
2212072;"Potęgowo (2)";3;
2212082;"Słupsk (2)";7;
2212092;"Smołdzino (2)";1;
2212102;"Ustka (2)";3;
2213000;"Powiat starogardzki";46;
2213013;"Czarna Woda (3)";1;
2213014;"Czarna Woda - miasto (4)";1;
2213021;"Skórcz (1)";1;
2213031;"Starogard Gdański (1)";9;
2213042;"Bobowo (2)";1;
2213052;"Kaliska (2)";2;
2213062;"Lubichowo (2)";2;
2213072;"Osieczna (2)";2;
2213082;"Osiek (2)";1;
2213093;"Skarszewy (3)";7;
2213094;"Skarszewy - miasto (4)";2;
2213095;"Skarszewy - obszar wiejski (5)";5;
2213102;"Skórcz (2)";4;
2213112;"Smętowo Graniczne (2)";3;
2213122;"Starogard Gdański (2)";8;
2213132;"Zblewo (2)";5;
2214000;"Powiat tczewski";38;
2214011;"Tczew (1)";15;
2214023;"Gniew (3)";7;
2214024;"Gniew - miasto (4)";2;
2214025;"Gniew - obszar wiejski (5)";5;
2214032;"Morzeszczyn (2)";2;
2214043;"Pelplin (3)";7;
2214044;"Pelplin - miasto (4)";3;
2214045;"Pelplin - obszar wiejski (5)";4;
2214052;"Subkowy (2)";2;
2214062;"Tczew (2)";5;
2215000;"Powiat wejherowski";66;
2215011;"Reda (1)";7;
2215021;"Rumia (1)";11;
2215031;"Wejherowo (1)";10;
2215042;"Choczewo (2)";2;
2215052;"Gniewino (2)";2;
2215062;"Linia (2)";7;
2215072;"Luzino (2)";6;
2215082;"Łęczyce (2)";5;
2215092;"Szemud (2)";9;
2215102;"Wejherowo (2)";7;
2216000;"Powiat sztumski";17;
2216013;"Dzierzgoń (3)";3;
2216014;"Dzierzgoń - miasto (4)";1;
2216015;"Dzierzgoń - obszar wiejski (5)";2;
2216022;"Mikołajki Pomorskie (2)";2;
2216032;"Stary Dzierzgoń (2)";2;
2216042;"Stary Targ (2)";3;
2216053;"Sztum (3)";7;
2216054;"Sztum - miasto (4)";3;
2216055;"Sztum - obszar wiejski (5)";4;
2261000;"Powiat m.Gdańsk";109;
2261011;"Gdańsk (1)";109;
2262000;"Powiat m.Gdynia";46;
2262011;"Gdynia (1)";46;
2263000;"Powiat m.Słupsk";19;
2263011;"Słupsk (1)";19;
2264000;"Powiat m.Sopot";12;
2264011;"Sopot (1)";12;
2400000;"ŚLĄSKIE";1427;
2401000;"Powiat będziński";44;
2401011;"Będzin (1)";12;
2401021;"Czeladź (1)";7;
2401031;"Wojkowice (1)";3;
2401042;"Bobrowniki (2)";5;
2401052;"Mierzęcice (2)";5;
2401062;"Psary (2)";5;
2401073;"Siewierz (3)";5;
2401074;"Siewierz - miasto (4)";2;
2401075;"Siewierz - obszar wiejski (5)";3;
2401081;"Sławków (1)";2;
2402000;"Powiat bielski";57;
2402011;"Szczyrk (1)";2;
2402022;"Bestwina (2)";4;
2402032;"Buczkowice (2)";5;
