"Kod";"Nazwa";"ludność korzystająca z sieci wodociągowej;2020;[osoba]";
1437034;"Lubowidz - miasto (4)";1645;
1437035;"Lubowidz - obszar wiejski (5)";4900;
1437042;"Lutocin (2)";4137;
1437052;"Siemiątkowo (2)";3060;
1437063;"Żuromin (3)";14180;
1437064;"Żuromin - miasto (4)";8753;
1437065;"Żuromin - obszar wiejski (5)";5427;
1438000;"Powiat żyrardowski";69186;
1438011;"Żyrardów (1)";36995;
1438023;"Mszczonów (3)";10164;
1438024;"Mszczonów - miasto (4)";5592;
1438025;"Mszczonów - obszar wiejski (5)";4572;
1438032;"Puszcza Mariańska (2)";8325;
1438042;"Radziejowice (2)";5252;
1438052;"Wiskitki (2)";8450;
1461000;"Powiat m.Ostrołęka";48898;
1461011;"Ostrołęka (1)";48898;
1462000;"Powiat m.Płock";114006;
1462011;"Płock (1)";114006;
1463000;"Powiat m.Radom";200675;
1463011;"Radom (1)";200675;
1464000;"Powiat m.Siedlce";74833;
1464011;"Siedlce (1)";74833;
1465000;"Powiat m. st. Warszawa";1725657;
1465011;"M.st.Warszawa od 2002 (1)";1725657;
1600000;"OPOLSKIE";947412;
1601000;"Powiat brzeski";87323;
1601011;"Brzeg (1)";34926;
1601022;"Skarbimierz (2)";8075;
1601033;"Grodków (3)";18431;
1601034;"Grodków - miasto (4)";8326;
1601035;"Grodków - obszar wiejski (5)";10105;
1601043;"Lewin Brzeski (3)";12460;
1601044;"Lewin Brzeski - miasto (4)";5690;
1601045;"Lewin Brzeski - obszar wiejski (5)";6770;
1601052;"Lubsza (2)";8560;
1601062;"Olszanka (2)";4871;
1602000;"Powiat głubczycki";42913;
1602013;"Baborów (3)";5791;
1602014;"Baborów - miasto (4)";2847;
1602015;"Baborów - obszar wiejski (5)";2944;
1602022;"Branice (2)";5600;
1602033;"Głubczyce (3)";21269;
1602034;"Głubczyce - miasto (4)";12438;
1602035;"Głubczyce - obszar wiejski (5)";8831;
1602043;"Kietrz (3)";10253;
1602044;"Kietrz - miasto (4)";5481;
1602045;"Kietrz - obszar wiejski (5)";4772;
1603000;"Powiat kędzierzyńsko-kozielski";92423;
1603011;"Kędzierzyn-Koźle (1)";60008;
1603022;"Bierawa (2)";7848;
1603032;"Cisek (2)";5266;
1603042;"Pawłowiczki (2)";7260;
1603052;"Polska Cerekiew (2)";3750;
1603062;"Reńska Wieś (2)";8291;
1604000;"Powiat kluczborski";61394;
1604013;"Byczyna (3)";8505;
1604014;"Byczyna - miasto (4)";3531;
1604015;"Byczyna - obszar wiejski (5)";4974;
1604023;"Kluczbork (3)";33740;
1604024;"Kluczbork - miasto (4)";22701;
1604025;"Kluczbork - obszar wiejski (5)";11039;
1604032;"Lasowice Wielkie (2)";6345;
1604043;"Wołczyn (3)";12804;
1604044;"Wołczyn - miasto (4)";5747;
1604045;"Wołczyn - obszar wiejski (5)";7057;
1605000;"Powiat krapkowicki";62460;
1605013;"Gogolin (3)";12620;
1605014;"Gogolin - miasto (4)";6763;
1605015;"Gogolin - obszar wiejski (5)";5857;
1605023;"Krapkowice (3)";22098;
1605024;"Krapkowice - miasto (4)";15834;
1605025;"Krapkowice - obszar wiejski (5)";6264;
1605032;"Strzeleczki (2)";7076;
1605042;"Walce (2)";5250;
1605053;"Zdzieszowice (3)";15416;
1605054;"Zdzieszowice - miasto (4)";11235;
1605055;"Zdzieszowice - obszar wiejski (5)";4181;
1606000;"Powiat namysłowski";41065;
1606012;"Domaszowice (2)";3555;
1606023;"Namysłów (3)";25556;
1606024;"Namysłów - miasto (4)";16440;
1606025;"Namysłów - obszar wiejski (5)";9116;
1606032;"Pokój (2)";4377;
1606042;"Świerczów (2)";3225;
1606052;"Wilków (2)";4352;
1607000;"Powiat nyski";127909;
1607013;"Głuchołazy (3)";19700;
1607014;"Głuchołazy - miasto (4)";13128;
1607015;"Głuchołazy - obszar wiejski (5)";6572;
1607022;"Kamiennik (2)";3088;
1607033;"Korfantów (3)";8576;
1607034;"Korfantów - miasto (4)";1715;
1607035;"Korfantów - obszar wiejski (5)";6861;
1607042;"Łambinowice (2)";7201;
1607053;"Nysa (3)";54818;
1607054;"Nysa - miasto (4)";42869;
1607055;"Nysa - obszar wiejski (5)";11949;
1607063;"Otmuchów (3)";13082;
1607064;"Otmuchów - miasto (4)";6470;
1607065;"Otmuchów - obszar wiejski (5)";6612;
1607073;"Paczków (3)";12320;
1607074;"Paczków - miasto (4)";7282;
1607075;"Paczków - obszar wiejski (5)";5038;
1607082;"Pakosławice (2)";3312;
1607092;"Skoroszyce (2)";5812;
1608000;"Powiat oleski";60510;
1608013;"Dobrodzień (3)";8653;
1608014;"Dobrodzień - miasto (4)";3397;
1608015;"Dobrodzień - obszar wiejski (5)";5256;
1608023;"Gorzów Śląski (3)";6151;
1608024;"Gorzów Śląski - miasto (4)";2231;
1608025;"Gorzów Śląski - obszar wiejski (5)";3920;
1608033;"Olesno (3)";17629;
1608034;"Olesno - miasto (4)";9343;
1608035;"Olesno - obszar wiejski (5)";8286;
1608043;"Praszka (3)";13175;
1608044;"Praszka - miasto (4)";7507;
1608045;"Praszka - obszar wiejski (5)";5668;
1608052;"Radłów (2)";3895;
1608062;"Rudniki (2)";7451;
1608072;"Zębowice (2)";3556;
1609000;"Powiat opolski";121060;
1609012;"Chrząstowice (2)";6666;
1609022;"Dąbrowa (2)";8248;
1609032;"Dobrzeń Wielki (2)";9289;
1609042;"Komprachcice (2)";9049;
1609052;"Łubniany (2)";9515;
1609062;"Murów (2)";4693;
1609073;"Niemodlin (3)";13109;
1609074;"Niemodlin - miasto (4)";6222;
1609075;"Niemodlin - obszar wiejski (5)";6887;
1609083;"Ozimek (3)";19441;
1609084;"Ozimek - miasto (4)";8480;
1609085;"Ozimek - obszar wiejski (5)";10961;
1609092;"Popielów (2)";7960;
1609103;"Prószków (3)";8845;
1609104;"Prószków - miasto (4)";2377;
1609105;"Prószków - obszar wiejski (5)";6468;
1609112;"Tarnów Opolski (2)";9486;
1609123;"Tułowice (3)";5121;
1609124;"Tułowice - miasto (4)";3968;
1609125;"Tułowice - obszar wiejski (5)";1153;
1609132;"Turawa (2)";9638;
1610000;"Powiat prudnicki";52639;
1610013;"Biała (3)";9432;
1610014;"Biała - miasto (4)";2389;
1610015;"Biała - obszar wiejski (5)";7043;
1610023;"Głogówek (3)";12946;
1610024;"Głogówek - miasto (4)";5560;
1610025;"Głogówek - obszar wiejski (5)";7386;
1610032;"Lubrza (2)";4183;
1610043;"Prudnik (3)";26078;
1610044;"Prudnik - miasto (4)";20150;
1610045;"Prudnik - obszar wiejski (5)";5928;
1611000;"Powiat strzelecki";73054;
1611012;"Izbicko (2)";5408;
1611022;"Jemielnica (2)";7220;
1611033;"Kolonowskie (3)";5675;
1611034;"Kolonowskie - miasto (4)";3195;
1611035;"Kolonowskie - obszar wiejski (5)";2480;
1611043;"Leśnica (3)";7515;
1611044;"Leśnica - miasto (4)";2562;
1611045;"Leśnica - obszar wiejski (5)";4953;
1611053;"Strzelce Opolskie (3)";29900;
1611054;"Strzelce Opolskie - miasto (4)";17648;
1611055;"Strzelce Opolskie - obszar wiejski (5)";12252;
1611063;"Ujazd (3)";6134;
1611064;"Ujazd - miasto (4)";1640;
1611065;"Ujazd - obszar wiejski (5)";4494;
1611073;"Zawadzkie (3)";11202;
1611074;"Zawadzkie - miasto (4)";7032;
1611075;"Zawadzkie - obszar wiejski (5)";4170;
1661000;"Powiat m.Opole";124662;
1661011;"Opole (1)";124662;
1800000;"PODKARPACKIE";1720885;
1801000;"Powiat bieszczadzki";15339;
1801032;"Czarna (2)";1244;
1801052;"Lutowiska (2)";1433;
1801083;"Ustrzyki Dolne (3)";12662;
1801084;"Ustrzyki Dolne - miasto (4)";8464;
1801085;"Ustrzyki Dolne - obszar wiejski (5)";4198;
1802000;"Powiat brzozowski";15544;
1802013;"Brzozów (3)";6149;
1802014;"Brzozów - miasto (4)";6069;
1802015;"Brzozów - obszar wiejski (5)";80;
1802022;"Domaradz (2)";1621;
1802032;"Dydnia (2)";1509;
1802042;"Haczów (2)";513;
1802052;"Jasienica Rosielna (2)";5116;
1802062;"Nozdrzec (2)";636;
1803000;"Powiat dębicki";110272;
1803011;"Dębica (1)";42039;
1803023;"Brzostek (3)";5746;
1803024;"Brzostek - miasto (4)";2749;
1803025;"Brzostek - obszar wiejski (5)";2997;
1803032;"Czarna (2)";11985;
1803042;"Dębica (2)";23629;
1803063;"Pilzno (3)";12866;
1803064;"Pilzno - miasto (4)";4526;
1803065;"Pilzno - obszar wiejski (5)";8340;
1803072;"Żyraków (2)";14007;
1804000;"Powiat jarosławski";111376;
1804011;"Jarosław (1)";34945;
1804021;"Radymno (1)";5208;
1804032;"Chłopice (2)";4734;
1804042;"Jarosław (2)";13215;
1804052;"Laszki (2)";6150;
1804062;"Pawłosiów (2)";7472;
1804073;"Pruchnik (3)";8233;
1804074;"Pruchnik - miasto (4)";3652;
1804075;"Pruchnik - obszar wiejski (5)";4581;
1804082;"Radymno (2)";10432;
1804092;"Rokietnica (2)";3838;
1804102;"Roźwienica (2)";5675;
1804112;"Wiązownica (2)";11474;
1805000;"Powiat jasielski";54181;
1805011;"Jasło (1)";30353;
1805032;"Dębowiec (2)";4156;
1805042;"Jasło (2)";5520;
1805053;"Kołaczyce (3)";2718;
1805054;"Kołaczyce - miasto (4)";1342;
1805055;"Kołaczyce - obszar wiejski (5)";1376;
1805062;"Krempna (2)";1066;
1805072;"Nowy Żmigród (2)";2120;
1805082;"Osiek Jasielski (2)";1827;
1805092;"Skołyszyn (2)";4422;
1805112;"Tarnowiec (2)";1999;
1806000;"Powiat kolbuszowski";56895;
1806012;"Cmolas (2)";7552;
1806023;"Kolbuszowa (3)";22124;
1806024;"Kolbuszowa - miasto (4)";8640;
1806025;"Kolbuszowa - obszar wiejski (5)";13484;
1806032;"Majdan Królewski (2)";8645;
1806042;"Niwiska (2)";5937;
1806052;"Raniżów (2)";6510;
1806062;"Dzikowiec (2)";6127;
1807000;"Powiat krośnieński";57859;
1807012;"Chorkówka (2)";9210;
1807023;"Dukla (3)";9178;
1807024;"Dukla - miasto (4)";1784;
1807025;"Dukla - obszar wiejski (5)";7394;
1807033;"Iwonicz-Zdrój (3)";6429;
1807034;"Iwonicz-Zdrój - miasto (4)";1741;
1807035;"Iwonicz-Zdrój - obszar wiejski (5)";4688;
1807043;"Jedlicze (3)";4941;
1807044;"Jedlicze - miasto (4)";3064;
1807045;"Jedlicze - obszar wiejski (5)";1877;
1807052;"Korczyna (2)";5052;
1807062;"Krościenko Wyżne (2)";4531;
1807072;"Miejsce Piastowe (2)";7547;
1807083;"Rymanów (3)";6811;
1807084;"Rymanów - miasto (4)";1890;
1807085;"Rymanów - obszar wiejski (5)";4921;
1807092;"Wojaszówka (2)";2636;
1807102;"Jaśliska (2)";1524;
1808000;"Powiat leżajski";65744;
1808011;"Leżajsk (1)";12354;
1808022;"Grodzisko Dolne (2)";7725;
1808032;"Kuryłówka (2)";5086;
1808042;"Leżajsk (2)";19820;
1808053;"Nowa Sarzyna (3)";20759;
1808054;"Nowa Sarzyna - miasto (4)";5734;
1808055;"Nowa Sarzyna - obszar wiejski (5)";15025;
1809000;"Powiat lubaczowski";52081;
1809011;"Lubaczów (1)";11830;
1809023;"Cieszanów (3)";6845;
1809024;"Cieszanów - miasto (4)";1892;
1809025;"Cieszanów - obszar wiejski (5)";4953;
1809032;"Horyniec-Zdrój (2)";3780;
1809042;"Lubaczów (2)";9161;
1809053;"Narol (3)";7043;
1809054;"Narol - miasto (4)";2038;
1809055;"Narol - obszar wiejski (5)";5005;
1809063;"Oleszyce (3)";6237;
1809064;"Oleszyce - miasto (4)";2889;
1809065;"Oleszyce - obszar wiejski (5)";3348;
1809072;"Stary Dzików (2)";3586;
1809082;"Wielkie Oczy (2)";3599;
1810000;"Powiat łańcucki";76694;
1810011;"Łańcut (1)";17666;
1810022;"Białobrzegi (2)";7938;
1810032;"Czarna (2)";11887;
1810042;"Łańcut (2)";20390;
1810052;"Markowa (2)";4769;
1810062;"Rakszawa (2)";7069;
1810072;"Żołynia (2)";6975;
1811000;"Powiat mielecki";132196;
1811011;"Mielec (1)";59441;
1811022;"Borowa (2)";5359;
1811032;"Czermin (2)";6683;
1811042;"Gawłuszowice (2)";2536;
1811052;"Mielec (2)";12965;
1811062;"Padew Narodowa (2)";4953;
1811073;"Przecław (3)";12014;
1811074;"Przecław - miasto (4)";1788;
1811075;"Przecław - obszar wiejski (5)";10226;
1811083;"Radomyśl Wielki (3)";12902;
1811084;"Radomyśl Wielki - miasto (4)";3111;
1811085;"Radomyśl Wielki - obszar wiejski (5)";9791;
1811092;"Tuszów Narodowy (2)";7613;
1811102;"Wadowice Górne (2)";7730;
1812000;"Powiat niżański";57431;
1812012;"Harasiuki (2)";6043;
1812022;"Jarocin (2)";4785;
1812032;"Jeżowe (2)";9278;
1812042;"Krzeszów (2)";3926;
1812053;"Nisko (3)";17650;
1812054;"Nisko - miasto (4)";12224;
1812055;"Nisko - obszar wiejski (5)";5426;
1812063;"Rudnik nad Sanem (3)";7860;
1812064;"Rudnik nad Sanem - miasto (4)";4519;
1812065;"Rudnik nad Sanem - obszar wiejski (5)";3341;
1812073;"Ulanów (3)";7889;
1812074;"Ulanów - miasto (4)";1426;
1812075;"Ulanów - obszar wiejski (5)";6463;
1813000;"Powiat przemyski";45072;
1813012;"Bircza (2)";1227;
1813022;"Dubiecko (2)";1938;
1813032;"Fredropol (2)";466;
1813042;"Krasiczyn (2)";3820;
1813052;"Krzywcza (2)";367;
1813062;"Medyka (2)";6298;
1813072;"Orły (2)";8624;
1813082;"Przemyśl (2)";6495;
1813092;"Stubno (2)";3662;
1813102;"Żurawica (2)";12175;
1814000;"Powiat przeworski";69466;
1814011;"Przeworsk (1)";14501;
1814022;"Adamówka (2)";3897;
1814032;"Gać (2)";4355;
1814042;"Jawornik Polski (2)";940;
1814053;"Kańczuga (3)";10242;
1814054;"Kańczuga - miasto (4)";3104;
1814055;"Kańczuga - obszar wiejski (5)";7138;
1814062;"Przeworsk (2)";13752;
1814073;"Sieniawa (3)";6746;
1814074;"Sieniawa - miasto (4)";2132;
1814075;"Sieniawa - obszar wiejski (5)";4614;
1814082;"Tryńcza (2)";8117;
1814092;"Zarzecze (2)";6916;
1815000;"Powiat ropczycko-sędziszowski";59817;
1815012;"Iwierzyce (2)";6657;
1815022;"Ostrów (2)";7123;
1815033;"Ropczyce (3)";21005;
1815034;"Ropczyce - miasto (4)";14687;
1815035;"Ropczyce - obszar wiejski (5)";6318;
1815043;"Sędziszów Małopolski (3)";22426;
1815044;"Sędziszów Małopolski - miasto (4)";12234;
1815045;"Sędziszów Małopolski - obszar wiejski (5)";10192;
1815052;"Wielopole Skrzyńskie (2)";2606;
1816000;"Powiat rzeszowski";137780;
1816011;"Dynów (1)";2651;
1816023;"Błażowa (3)";4856;
1816024;"Błażowa - miasto (4)";2005;
1816025;"Błażowa - obszar wiejski (5)";2851;
1816033;"Boguchwała (3)";19540;
1816034;"Boguchwała - miasto (4)";6105;
1816035;"Boguchwała - obszar wiejski (5)";13435;
1816042;"Chmielnik (2)";2506;
1816052;"Dynów (2)";225;
1816063;"Głogów Małopolski (3)";19926;
1816064;"Głogów Małopolski - miasto (4)";8686;
1816065;"Głogów Małopolski - obszar wiejski (5)";11240;
1816072;"Hyżne (2)";4210;
1816082;"Kamień (2)";6598;
1816092;"Krasne (2)";10912;
1816102;"Lubenia (2)";3860;
1816113;"Sokołów Małopolski (3)";16844;
1816114;"Sokołów Małopolski - miasto (4)";4173;
1816115;"Sokołów Małopolski - obszar wiejski (5)";12671;
1816122;"Świlcza (2)";16281;
1816132;"Trzebownisko (2)";22616;
1816143;"Tyczyn (3)";6755;
1816144;"Tyczyn - miasto (4)";3913;
1816145;"Tyczyn - obszar wiejski (5)";2842;
1817000;"Powiat sanocki";63486;
1817011;"Sanok (1)";35231;
1817022;"Besko (2)";3925;
1817032;"Bukowsko (2)";4194;
1817042;"Komańcza (2)";2095;
1817052;"Sanok (2)";6424;
1817062;"Tyrawa Wołoska (2)";19;
1817073;"Zagórz (3)";7469;
1817074;"Zagórz - miasto (4)";4339;
1817075;"Zagórz - obszar wiejski (5)";3130;
1817082;"Zarszyn (2)";4129;
1818000;"Powiat stalowowolski";100387;
1818011;"Stalowa Wola (1)";57513;
1818022;"Bojanów (2)";7614;
1818032;"Pysznica (2)";10885;
1818042;"Radomyśl nad Sanem (2)";6009;
1818053;"Zaklików (3)";8079;
1818054;"Zaklików - miasto (4)";2879;
1818055;"Zaklików - obszar wiejski (5)";5200;
1818062;"Zaleszany (2)";10287;
1819000;"Powiat strzyżowski";32557;
1819012;"Czudec (2)";6800;
1819022;"Frysztak (2)";4975;
1819043;"Strzyżów (3)";14664;
1819044;"Strzyżów - miasto (4)";6938;
1819045;"Strzyżów - obszar wiejski (5)";7726;
1819052;"Wiśniowa (2)";6118;
1820000;"Powiat tarnobrzeski";51174;
1820013;"Baranów Sandomierski (3)";10308;
1820014;"Baranów Sandomierski - miasto (4)";1429;
1820015;"Baranów Sandomierski - obszar wiejski (5)";8879;
1820022;"Gorzyce (2)";12980;
1820032;"Grębów (2)";10003;
1820043;"Nowa Dęba (3)";17883;
1820044;"Nowa Dęba - miasto (4)";11006;
1820045;"Nowa Dęba - obszar wiejski (5)";6877;
1821000;"Powiat leski";16234;
1821012;"Baligród (2)";1583;
1821022;"Cisna (2)";733;
1821033;"Lesko (3)";8081;
1821034;"Lesko - miasto (4)";4583;
1821035;"Lesko - obszar wiejski (5)";3498;
1821042;"Olszanica (2)";1148;
1821052;"Solina (2)";4689;
1861000;"Powiat m.Krosno";43455;
1861011;"Krosno (1)";43455;
1862000;"Powiat m.Przemyśl";57021;
1862011;"Przemyśl (1)";57021;
1863000;"Powiat m.Rzeszów";193203;
1863011;"Rzeszów (1)";193203;
1864000;"Powiat m.Tarnobrzeg";45621;
1864011;"Tarnobrzeg (1)";45621;
2000000;"PODLASKIE";1067178;
2001000;"Powiat augustowski";49411;
2001011;"Augustów (1)";27788;
2001022;"Augustów (2)";5231;
2001032;"Bargłów Kościelny (2)";4837;
2001043;"Lipsk (3)";3673;
2001044;"Lipsk - miasto (4)";2137;
2001045;"Lipsk - obszar wiejski (5)";1536;
2001052;"Nowinka (2)";2301;
2001062;"Płaska (2)";2341;
2001072;"Sztabin (2)";3240;
2002000;"Powiat białostocki";134962;
2002013;"Choroszcz (3)";13319;
2002014;"Choroszcz - miasto (4)";5431;
2002015;"Choroszcz - obszar wiejski (5)";7888;
2002023;"Czarna Białostocka (3)";10801;
2002024;"Czarna Białostocka - miasto (4)";9020;
2002025;"Czarna Białostocka - obszar wiejski (5)";1781;
2002032;"Dobrzyniewo Duże (2)";9451;
2002042;"Gródek (2)";3641;
2002052;"Juchnowiec Kościelny (2)";15736;
2002063;"Łapy (3)";21457;
2002064;"Łapy - miasto (4)";15223;
2002065;"Łapy - obszar wiejski (5)";6234;
2002073;"Michałowo (3)";6036;
2002074;"Michałowo - miasto (4)";2972;
2002075;"Michałowo - obszar wiejski (5)";3064;
2002082;"Poświętne (2)";3161;
2002093;"Supraśl (3)";14059;
2002094;"Supraśl - miasto (4)";4486;
2002095;"Supraśl - obszar wiejski (5)";9573;
2002103;"Suraż (3)";1873;
2002104;"Suraż - miasto (4)";983;
2002105;"Suraż - obszar wiejski (5)";890;
2002112;"Turośń Kościelna (2)";5961;
2002123;"Tykocin (3)";5162;
2002124;"Tykocin - miasto (4)";1964;
2002125;"Tykocin - obszar wiejski (5)";3198;
2002133;"Wasilków (3)";17306;
2002134;"Wasilków - miasto (4)";11795;
2002135;"Wasilków - obszar wiejski (5)";5511;
2002143;"Zabłudów (3)";5602;
2002144;"Zabłudów - miasto (4)";2064;
2002145;"Zabłudów - obszar wiejski (5)";3538;
2002152;"Zawady (2)";1397;
2003000;"Powiat bielski";48932;
2003011;"Bielsk Podlaski (1)";24127;
2003021;"Brańsk (1)";3675;
2003032;"Bielsk Podlaski (2)";5538;
2003042;"Boćki (2)";3151;
2003052;"Brańsk (2)";4917;
2003062;"Orla (2)";2524;
2003072;"Rudka (2)";1485;
2003082;"Wyszki (2)";3515;
2004000;"Powiat grajewski";41328;
2004011;"Grajewo (1)";21177;
2004022;"Grajewo (2)";4636;
2004032;"Radziłów (2)";3886;
2004043;"Rajgród (3)";3158;
2004044;"Rajgród - miasto (4)";1149;
2004045;"Rajgród - obszar wiejski (5)";2009;
2004053;"Szczuczyn (3)";5345;
2004054;"Szczuczyn - miasto (4)";3093;
2004055;"Szczuczyn - obszar wiejski (5)";2252;
2004062;"Wąsosz (2)";3126;
2005000;"Powiat hajnowski";38816;
2005011;"Hajnówka (1)";19632;
2005022;"Białowieża (2)";1864;
2005032;"Czeremcha (2)";2875;
2005042;"Czyże (2)";1694;
2005052;"Dubicze Cerkiewne (2)";1358;
2005062;"Hajnówka (2)";3198;
2005073;"Kleszczele (3)";2344;
2005074;"Kleszczele - miasto (4)";1182;
2005075;"Kleszczele - obszar wiejski (5)";1162;
2005082;"Narew (2)";2497;
2005092;"Narewka (2)";3354;
2006000;"Powiat kolneński";30830;
2006011;"Kolno (1)";10132;
2006022;"Grabowo (2)";2878;
2006032;"Kolno (2)";6476;
2006042;"Mały Płock (2)";3755;
2006053;"Stawiski (3)";4970;
2006054;"Stawiski - miasto (4)";1908;
2006055;"Stawiski - obszar wiejski (5)";3062;
2006062;"Turośl (2)";2619;
2007000;"Powiat łomżyński";41930;
2007013;"Jedwabne (3)";2579;
2007014;"Jedwabne - miasto (4)";1295;
2007015;"Jedwabne - obszar wiejski (5)";1284;
2007022;"Łomża (2)";10969;
2007032;"Miastkowo (2)";3478;
2007043;"Nowogród (3)";3581;
2007044;"Nowogród - miasto (4)";2012;
2007045;"Nowogród - obszar wiejski (5)";1569;
2007052;"Piątnica (2)";9582;
2007062;"Przytuły (2)";1736;
2007072;"Śniadowo (2)";4687;
2007082;"Wizna (2)";2705;
2007092;"Zbójna (2)";2613;
2008000;"Powiat moniecki";32576;
2008013;"Goniądz (3)";3708;
2008014;"Goniądz - miasto (4)";1667;
2008015;"Goniądz - obszar wiejski (5)";2041;
2008022;"Jasionówka (2)";1943;
2008032;"Jaświły (2)";3756;
2008043;"Knyszyn (3)";4312;
2008044;"Knyszyn - miasto (4)";2713;
2008045;"Knyszyn - obszar wiejski (5)";1599;
2008052;"Krypno (2)";3415;
2008063;"Mońki (3)";12489;
2008064;"Mońki - miasto (4)";9489;
2008065;"Mońki - obszar wiejski (5)";3000;
2008072;"Trzcianne (2)";2953;
2009000;"Powiat sejneński";15239;
2009011;"Sejny (1)";5097;
2009022;"Giby (2)";1881;
2009032;"Krasnopol (2)";1620;
2009042;"Puńsk (2)";3931;
2009052;"Sejny (2)";2710;
2010000;"Powiat siemiatycki";38152;
2010011;"Siemiatycze (1)";13401;
2010023;"Drohiczyn (3)";5123;
2010024;"Drohiczyn - miasto (4)";1800;
2010025;"Drohiczyn - obszar wiejski (5)";3323;
2010032;"Dziadkowice (2)";2610;
2010042;"Grodzisk (2)";3695;
2010052;"Mielnik (2)";2147;
2010062;"Milejczyce (2)";1451;
2010072;"Nurzec-Stacja (2)";2741;
2010082;"Perlejewo (2)";2136;
2010092;"Siemiatycze (2)";4848;
2011000;"Powiat sokólski";52940;
2011013;"Dąbrowa Białostocka (3)";9506;
2011014;"Dąbrowa Białostocka - miasto (4)";5229;
2011015;"Dąbrowa Białostocka - obszar wiejski (5)";4277;
2011022;"Janów (2)";2856;
2011032;"Korycin (2)";2401;
2011043;"Krynki (3)";2541;
2011044;"Krynki - miasto (4)";1970;
2011045;"Krynki - obszar wiejski (5)";571;
2011052;"Kuźnica (2)";2488;
2011062;"Nowy Dwór (2)";2023;
2011072;"Sidra (2)";2225;
2011083;"Sokółka (3)";21299;
2011084;"Sokółka - miasto (4)";17466;
2011085;"Sokółka - obszar wiejski (5)";3833;
2011093;"Suchowola (3)";5927;
2011094;"Suchowola - miasto (4)";2092;
2011095;"Suchowola - obszar wiejski (5)";3835;
2011102;"Szudziałowo (2)";1674;
2012000;"Powiat suwalski";30037;
2012012;"Bakałarzewo (2)";2500;
2012022;"Filipów (2)";3302;
2012032;"Jeleniewo (2)";2984;
2012042;"Przerośl (2)";2042;
2012052;"Raczki (2)";4827;
2012062;"Rutka-Tartak (2)";2193;
2012072;"Suwałki (2)";6832;
2012082;"Szypliszki (2)";3322;
2012092;"Wiżajny (2)";2035;
2013000;"Powiat wysokomazowiecki";52992;
2013011;"Wysokie Mazowieckie (1)";9136;
2013023;"Ciechanowiec (3)";7591;
2013024;"Ciechanowiec - miasto (4)";4008;
2013025;"Ciechanowiec - obszar wiejski (5)";3583;
2013033;"Czyżew (3)";5964;
2013034;"Czyżew - miasto (4)";2498;
2013035;"Czyżew - obszar wiejski (5)";3466;
2013042;"Klukowo (2)";4135;
2013052;"Kobylin-Borzymy (2)";2908;
2013062;"Kulesze Kościelne (2)";2902;
2013072;"Nowe Piekuty (2)";3433;
2013082;"Sokoły (2)";5295;
2013093;"Szepietowo (3)";6331;
2013094;"Szepietowo - miasto (4)";1939;
2013095;"Szepietowo - obszar wiejski (5)";4392;
2013102;"Wysokie Mazowieckie (2)";5297;
2014000;"Powiat zambrowski";41217;
2014011;"Zambrów (1)";21568;
2014022;"Kołaki Kościelne (2)";2243;
2014032;"Rutki (2)";4453;
2014042;"Szumowo (2)";4564;
2014052;"Zambrów (2)";8389;
2061000;"Powiat m.Białystok";289719;
2061011;"Białystok (1)";289719;
2062000;"Powiat m.Łomża";60928;
2062011;"Łomża (1)";60928;
2063000;"Powiat m.Suwałki";67169;
2063011;"Suwałki (1)";67169;
2200000;"POMORSKIE";2266416;
2201000;"Powiat bytowski";73728;
2201012;"Borzytuchom (2)";3249;
2201023;"Bytów (3)";24051;
2201024;"Bytów - miasto (4)";16599;
2201025;"Bytów - obszar wiejski (5)";7452;
2201032;"Czarna Dąbrówka (2)";5588;
2201042;"Kołczygłowy (2)";3962;
2201052;"Lipnica (2)";4546;
2201063;"Miastko (3)";17865;
2201064;"Miastko - miasto (4)";10049;
2201065;"Miastko - obszar wiejski (5)";7816;
2201072;"Parchowo (2)";3842;
2201082;"Studzienice (2)";3029;
2201092;"Trzebielino (2)";3503;
2201102;"Tuchomie (2)";4093;
2202000;"Powiat chojnicki";92585;
2202011;"Chojnice (1)";39647;
2202023;"Brusy (3)";13282;
2202024;"Brusy - miasto (4)";4709;
2202025;"Brusy - obszar wiejski (5)";8573;
2202032;"Chojnice (2)";17507;
2202043;"Czersk (3)";19983;
2202044;"Czersk - miasto (4)";9451;
2202045;"Czersk - obszar wiejski (5)";10532;
2202052;"Konarzyny (2)";2166;
2203000;"Powiat człuchowski";53321;
2203011;"Człuchów (1)";13312;
2203023;"Czarne (3)";8283;
2203024;"Czarne - miasto (4)";5377;
2203025;"Czarne - obszar wiejski (5)";2906;
2203032;"Człuchów (2)";11204;
2203043;"Debrzno (3)";8951;
2203044;"Debrzno - miasto (4)";5014;
2203045;"Debrzno - obszar wiejski (5)";3937;
2203052;"Koczała (2)";2469;
2203062;"Przechlewo (2)";5654;
2203072;"Rzeczenica (2)";3448;
2204000;"Powiat gdański";117847;
2204011;"Pruszcz Gdański (1)";31543;
2204022;"Cedry Wielkie (2)";6874;
2204032;"Kolbudy (2)";17939;
2204042;"Pruszcz Gdański (2)";32032;
2204052;"Przywidz (2)";5766;
2204062;"Pszczółki (2)";9612;
2204072;"Suchy Dąb (2)";4192;
2204082;"Trąbki Wielkie (2)";9889;
2205000;"Powiat kartuski";137332;
2205012;"Chmielno (2)";7865;
2205023;"Kartuzy (3)";33902;
2205024;"Kartuzy - miasto (4)";14146;
